idx,pact,active,novelty,vina,aff_pred_value,aff_prob_binary
137,8.5229,1,analog,-9.793,-1.0985509157180786,0.9563173651695251
138,7.041,1,analog,-10.17,0.8889302015304565,0.8951223492622375
139,7.7447,1,analog,-9.403,-0.21865807473659515,0.694598913192749
140,7.3098,1,analog,-8.431,-0.2223842591047287,0.8455045223236084
141,7.5686,1,analog,-8.549,0.498250812292099,0.612149178981781
142,7.3468,1,analog,-7.939,0.0030631422996520996,0.7852698564529419
143,7.6021,1,analog,-9.06,-0.19998112320899963,0.7513195276260376
144,9.4815,1,analog,-9.457,0.012291718274354935,0.9412358999252319
145,7.3188,1,analog,-8.506,0.20099711418151855,0.69493168592453
146,8.6383,1,analog,-9.369,0.0934840738773346,0.9654209613800049
147,7.3279,1,analog,-8.759,0.13476839661598206,0.7654305100440979
148,5.4202,0,analog,-8.538,1.1998844146728516,0.8928318023681641
149,5.0458,0,analog,-7.657,0.7332768440246582,0.6238729357719421
150,6.9914,1,analog,-9.983,1.229242205619812,0.9118017554283142
151,5.7696,0,analog,-9.505,-0.8186492919921875,0.8808869123458862
152,7.6576,1,analog,-8.713,1.049621820449829,0.9348939657211304
153,5.1938,0,analog,-8.551,0.23476654291152954,0.7594212293624878
154,5.5686,0,analog,-9.803,-0.05371938645839691,0.7865424156188965
155,5.3979,0,analog,-8.855,-0.28310829401016235,0.8203405141830444
156,4.8069,0,analog,-9.811,1.2234123945236206,0.49936118721961975
157,6.6021,1,analog,-9.834,-0.7892084121704102,0.8509814739227295
158,5.9208,0,analog,-9.077,-0.08703557401895523,0.5927548408508301
159,4.5686,0,analog,-9.169,0.1882544457912445,0.5832339525222778
160,4.6576,0,analog,-9.449,-0.12785041332244873,0.5021113157272339
161,5.8097,0,analog,-8.862,-0.46736013889312744,0.802467405796051
162,6.3979,0,analog,-9.5,-0.04773193597793579,0.9198861718177795
163,5.4868,0,analog,-9.012,-0.4273289144039154,0.7531011700630188
164,5.5376,0,analog,-9.248,0.07485327124595642,0.8036409616470337
165,5.3279,0,analog,-9.604,0.3426799178123474,0.7141807079315186
