smiles,vina_kcal_mol,predicted_safety,qed,synth_solvable_prob,applicability_domain,cand_score,confidence_tier
N[C@H](CNc1nc(-c2ccncc2)nc2c(Nc3ncccn3)csc12)Cc1ccccc1,-7.08,0.3277,0.3185,0.6668,low (out-of-domain),1.5470533488,LOW (out-of-domain)
CCOC(=O)C(=O)c1cc2cc(Cl)ccc2n1S(=O)(=O)c1cc(Cl)ccc1N,-6.17,0.3105,0.281,0.799,in-domain,1.530712215,reliable-ADMET (docking pose-plausible hypothesis)
CC(=O)NC(C)c1ccc2sc(-c3ccc(Oc4cccc(OCC5CC5)c4)nc3)nc2c1,-6.79,0.2386,0.3427,0.9354,low (out-of-domain),1.5154359276000002,LOW (out-of-domain)
COc1cc(N2CCN(C)CC2)ccc1Nc1nc(N)n(C(=O)NCc2c(Cl)cccc2Cl)n1,-6.95,0.2364,0.4673,0.9146,in-domain,1.502669508,reliable-ADMET (docking pose-plausible hypothesis)
CC(C)CN(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1nccs1,-5.92,0.2789,0.7401,0.9078,low (out-of-domain),1.4988576864,LOW (out-of-domain)
Cc1ccc2c(c1)OC(N)=C1C(=O)N(CCc3ccc(Cl)cc3Cl)C(=O)CC12,-8.32,0.2743,0.7682,0.6449,in-domain,1.4717753024,reliable-ADMET (docking pose-plausible hypothesis)
COc1ccc(OCC(=O)Sc2ccc(C)cc2)cc1,-5.34,0.281,0.7859,0.9763,in-domain,1.464977202,reliable-ADMET (docking pose-plausible hypothesis)
CC(C)C(=O)Nc1ccc(N2CCN(CC(O)(Cn3cncn3)c3ccc(F)cc3F)CC2)c(F)c1,-5.93,0.2532,0.4927,0.9597,in-domain,1.4409665172,reliable-ADMET (docking pose-plausible hypothesis)
CC(=O)NC12C=CC(=O)C=CC1c1c(cc(O)c(O)c1O)CC2C,-6.96,0.7603,0.5862,0.2674,low (out-of-domain),1.4149973712000001,LOW (out-of-domain)
CNc1nc(NCc2ccc(Cl)cc2Cl)cc(-c2ccccn2)n1,-7.13,0.1999,0.7016,0.9648,in-domain,1.3751168975999999,reliable-ADMET (docking pose-plausible hypothesis)
O=C1OCc2c1cc1cc(OCc3cccc(C4(O)CCOCC4)c3)ccc1c2-c1ccccc1Cl,-7.89,0.2562,0.3208,0.6728,low (out-of-domain),1.3600100303999998,LOW (out-of-domain)
CC1(C)CC2=NNC(=O)c3cccc4c3c2c(n4CCN2CCOCC2)C1,-7.4,0.3127,0.9074,0.5811,in-domain,1.3446537779999999,reliable-ADMET (docking pose-plausible hypothesis)
CS/C(=N\c1cccc(C2CN3CCSC3=N2)c1)Nc1cccc(Cl)c1,-6.49,0.3178,0.5609,0.6479,low (out-of-domain),1.3363080038000004,LOW (out-of-domain)
CCOC(=O)c1cc(-c2ccccc2)sc1NC(=O)C(C)N1C(=O)NC(C)(c2ccc(Cl)cc2)C1=O,-6.66,0.2572,0.332,0.7569,in-domain,1.2965333688,reliable-ADMET (docking pose-plausible hypothesis)
COc1ccc(C(=O)C[n+]2c(C)n(C(F)F)c3ccccc32)cc1,-6.57,0.2528,0.5295,0.7638,in-domain,1.2685923648000001,reliable-ADMET (docking pose-plausible hypothesis)
C=C(C)[C@@H]1CC[C@]2(COC(C)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC(N=[N+]=[N-])C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-6.69,0.613,0.1226,0.2937,low (out-of-domain),1.2044548890000002,LOW (out-of-domain)
O=C(NCc1noc(-c2nn(CCn3ccnc3)c3ccccc23)n1)c1ccccc1,-6.99,0.1818,0.44,0.9477,low (out-of-domain),1.2043201013999998,LOW (out-of-domain)
COc1ccc(NC(=O)c2cc(-c3cccc(C)c3)nc3ccccc23)c(C)c1,-7.8,0.1515,0.4867,0.9747,in-domain,1.15180299,reliable-ADMET (docking pose-plausible hypothesis)
CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc2oc(-c3ccccc3-c3nn[nH]n3)c(C(F)(F)F)c2c1,-6.56,0.2839,0.237,0.6113,in-domain,1.1384753391999998,reliable-ADMET (docking pose-plausible hypothesis)
Cc1ccccc1NC(=O)CSc1nnc(-c2ccco2)c(-c2ccco2)n1,-6.96,0.1673,0.4851,0.9753,in-domain,1.1356471224,reliable-ADMET (docking pose-plausible hypothesis)
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CS(=O)(=O)C3)nc2CC2CCCCC2)c2ccccc12,-6.19,0.3207,0.4124,0.5352,in-domain,1.0624431816,reliable-ADMET (docking pose-plausible hypothesis)
COc1cc2ccnc(Nc3ccc(Br)cc3)c2cc1OC,-6.35,0.1713,0.7296,0.9759,in-domain,1.0615401045,reliable-ADMET (docking pose-plausible hypothesis)
CN(Cc1cc2c3c(c1)c(=O)c(C(=O)NCc1ccc(Cl)cc1)cn3CC(=O)N2C)CC(O)c1cc2ccccc2o1,-7.44,0.2709,0.2786,0.4886,in-domain,0.9847713455999998,reliable-ADMET (docking pose-plausible hypothesis)
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)N1c1cccc(NC(=O)NCCCN2CCC(c3cccc(OC)c3)CC2)c1,-6.01,0.2824,0.197,0.5511,in-domain,0.9353401464,reliable-ADMET (docking pose-plausible hypothesis)
C[C@@H]1C[C@H](C)[C@H]2c3c(ccn(O)c3=O)O[C@H](C)[C@@]2(C)C1,-6.97,0.4886,0.7416,0.2744,low (out-of-domain),0.9344807247999998,LOW (out-of-domain)
C[C@]12CC[C@H]3[C@@H](CC(=O)C45CC4CC[C@]35C)C1=CC=C2c1cccnc1,-7.86,0.5327,0.6986,0.2084,in-domain,0.8725753848,reliable-ADMET (docking pose-plausible hypothesis)
Cn1cc(-c2cnn3c(N)c(CCO)c(C4CCCNC4)nc23)cn1,-6.76,0.3424,0.6453,0.3753,low (out-of-domain),0.8686783872,LOW (out-of-domain)
Cc1cc(F)ccc1[C@H]1C[C@@]2(CCN1C(=O)N(C)[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)CC[C@]1(C)COCCN12,-7.26,0.35,0.3317,0.2934,low (out-of-domain),0.7455294,LOW (out-of-domain)
CO[C@@]1(C)C[C@@H]2OCC3=CCCC[C@]32O1,-5.03,0.5494,0.6196,0.259,low (out-of-domain),0.7157418380000001,LOW (out-of-domain)
CN(C)c1ccc(C(c2ccc(C(=O)NCCCOP(=O)(O)O[C@@H]3[C@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]3O)cc2)c2ccc(N(C)C)cc2)cc1,-5.78,0.2224,0.0531,0.5518,in-domain,0.7093234495999999,reliable-ADMET (docking pose-plausible hypothesis)
O=C(c1cccs1)[C@@H]1[C@@H]2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@@H]2C2c3ccccc3C=CN21,-7.61,0.2669,0.4135,0.3376,in-domain,0.6857023984000001,reliable-ADMET (docking pose-plausible hypothesis)
C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](O)[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,-6.13,0.7936,0.2703,0.1329,low (out-of-domain),0.6465276671999999,LOW (out-of-domain)
CO[C@@]12C[C@@H]3[C@H]([C@@H]1NC(=O)N2)N(C)C(=O)c1ccc(Br)n13,-6.43,0.5932,0.7779,0.1448,low (out-of-domain),0.5523071648,LOW (out-of-domain)
O=C(Cc1cccc2ccccc12)N/N=C/c1cccs1,-6.91,0.0726,0.5796,0.9896,low (out-of-domain),0.49644867359999995,LOW (out-of-domain)
COc1ccc(C2C(=O)C(c3ccc4c(c3)CCCC4)N=C3SCCC(=O)N32)cc1OC,-6.66,0.3404,0.696,0.2136,in-domain,0.4842448704,reliable-ADMET (docking pose-plausible hypothesis)
CC[C@H]1[C@H](/C=C/c2ccc(-c3ccccc3C)cn2)[C@@H]2[C@@H](C)OC(=O)[C@@H]2C[C@@H]1C,-6.19,0.5459,0.6084,0.1372,low (out-of-domain),0.46361540120000005,LOW (out-of-domain)
C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O[C@@H]1CN(C)Cc1ccc(C(=O)Nc2ccccc2N)cc1,-5.43,0.2514,0.1022,0.3261,in-domain,0.44515976220000003,reliable-ADMET (docking pose-plausible hypothesis)
Cc1cc(O)c2c3c(ccc2c1)C(=O)c1c(O)cccc1C3=O,-7.78,0.0726,0.5223,0.7566,in-domain,0.4273488648,reliable-ADMET (docking pose-plausible hypothesis)
CN(C)c1ccc(-c2nnc(S)n2-c2ccccc2)cc1,-5.5,0.0741,0.7531,0.9648,low (out-of-domain),0.39320424,LOW (out-of-domain)
CC(=O)[C@@]12O[C@@H]1C[C@H]1[C@H]3CC=C4[C@@H](CC[C@@H](O)C4(C)C)[C@]3(C)C(=O)C[C@@]12C,-7.1,0.6069,0.5653,0.0614,low (out-of-domain),0.264571986,LOW (out-of-domain)
COc1c(O)cc2oc3cc4c(c(O)c3c(=O)c2c1C/C=C(\C)CCC=C(C)C)C=CC(C)(C)O4,-6.37,0.1987,0.3009,0.1552,low (out-of-domain),0.1964395888,LOW (out-of-domain)
Oc1cc(O)cc(C2c3c(/C=C/c4ccc(O)c(O)c4)cc(O)cc3OC2c2ccc(O)c(O)c2)c1,-7.82,0.2108,0.1562,0.1168,in-domain,0.19253966079999998,reliable-ADMET (docking pose-plausible hypothesis)
