chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank,ppb_percent,fu,clearance_mL_min_kg,clearance_class,vd_L_kg,half_life_h,half_life_class,bioavailability_percent,bioavailability_class,est_dose_mg,dosing_frequency,pk_score
CHEMBL558288,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)NC)CC4)c3n2)cc1,MTOR,escape_route,scout1,2.0,0.0,0.507,2.75,100.0,,database,89.1,99.8,100.0,62.3,70,80.6,88.5,46,42.3,0.5769,15.9,moderate,0.11,0.5,short,20.6,moderate,0.0,TID (three times daily),65
CHEMBL562365,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(C)=O)CC4)c3n2)cc1,MTOR,escape_route,scout1,2.1,0.0,0.591,2.66,100.0,,database,88.4,99.8,100.0,61.9,70,81.6,88.3,47,50.2,0.4985,18.3,moderate,0.17,0.5,short,10.0,low,1.0,TID (three times daily),50
CHEMBL3957991,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3COC3)c(=O)n2C)cn1,ATM,resistant,scout1,3.8,0.0,0.402,2.96,100.0,,database,79.9,99.6,100.0,79.9,70,78.2,88.3,48,76.5,0.2351,49.8,high,0.9,0.5,short,10.0,low,2.0,TID (three times daily),40
,CCNC(=O)Nc1ccsc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,escape_route,scout2,0.4,516.6,0.542,4.5,70.0,0.451,bioisostere,100.0,100.0,70.0,70.0,100,61.1,87.5,49,62.2,0.3783,26.3,high,0.26,0.5,short,8.0,low,2.0,TID (three times daily),40
,CCNC(=O)Nc1ccncc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,escape_route,scout2,0.4,511.6,0.54,4.6,70.0,0.449,bioisostere,100.0,100.0,70.0,70.0,100,60.0,87.5,50,44.0,0.5597,17.2,moderate,0.1,0.5,short,11.0,low,1.0,TID (three times daily),50
,CCNC(=O)Nc1ccoc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,escape_route,scout2,0.4,500.6,0.553,4.5,70.0,0.477,bioisostere,100.0,100.0,70.0,70.0,100,61.1,87.5,51,47.3,0.5268,19.0,moderate,0.12,0.5,short,8.0,low,1.0,TID (three times daily),50
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,PIK3CA,escape_route,scout1,2.5,0.0,0.769,2.44,100.0,,database,85.9,99.8,100.0,60.1,70,84.0,87.4,52,81.5,0.1854,55.8,high,1.75,0.5,short,10.0,low,2.0,TID (three times daily),40
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,PIK3CA,escape_route,scout1,2.5,0.0,0.769,2.44,100.0,,database,85.9,99.8,100.0,60.1,70,84.0,87.4,53,81.5,0.1854,55.8,high,1.75,0.5,short,10.0,low,2.0,TID (three times daily),40
CHEMBL477989,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,BRAF,escape_route,scout1,0.3,0.0,0.308,2.72,96.2,,database,100.0,80.0,96.2,70.0,70,80.9,87.3,54,92.4,0.0756,100.0,high,3.82,0.5,short,10.0,low,5.0,TID (three times daily),40
CHEMBL426811,N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2OC2CCOCC2)cn1,CHEK1,resistant,scout1,5.0,0.0,0.851,2.58,100.0,,database,75.9,99.5,100.0,75.9,70,82.4,86.7,55,66.2,0.3378,33.6,high,0.49,0.5,short,10.0,low,1.0,TID (three times daily),40
