chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw_scout,logp_scout,lipinski_violations_scout,is_approved,is_clinical,n_net_targets,net_targets,population_target,est_emax_s,est_emax_r,mw_admet,logp_admet,hbd,hba,tpsa,rotatable_bonds,aromatic_rings,qed,sa_score,lipinski_violations_admet,veber_pass,pains_pass,pains_alerts,bbb_penetrant,gi_absorption,hepatotox_risk,admet_score,overall_pass
CHEMBL3986918,CHEMBL3986918,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3CCOCC3)c(=O)n2C)cn1,ATM,IC50,0.782,479.56,3.77,0,False,False,1,ATM,resistant,0.002053,0.010267,479.6,3.77,0,6,74.4,7,4,0.376,2.92,0,True,True,0,False,high,medium,97.5,True
CHEMBL540695,CHEMBL540695,O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)c5cccnc5)CC4)c3n2)cc1,MTOR,IC50,0.83,604.68,4.24,1,False,False,1,MTOR,escape_route,0.004081,0.006121,604.7,4.24,2,9,143.3,6,5,0.291,2.86,1,False,True,0,False,medium,medium,70.8,True
CHEMBL366534,CHEMBL366534,CCCCCCNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,CD274,Ki,0.85,562.67,3.9,1,False,False,1,CD274,immune,0.005088,0.005088,562.7,3.9,4,6,146.6,16,3,0.194,3.41,1,False,True,0,False,medium,medium,68.9,True
CHEMBL4111966,CHEMBL4111966,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)cn1,ATM,IC50,0.935,461.57,3.63,0,False,False,1,ATM,resistant,0.002015,0.010073,461.6,3.63,0,6,74.4,7,4,0.391,3.27,0,True,True,0,False,high,medium,97.8,True
CHEMBL3961688,CHEMBL3961688,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2(C)CCOCC2)c(=O)n4C)cn1,ATM,IC50,0.96,475.59,3.81,0,False,False,1,ATM,resistant,0.002009,0.010044,475.6,3.81,0,6,74.4,7,4,0.379,3.1,0,True,True,0,False,high,medium,97.6,True
CHEMBL4110596,CHEMBL4110596,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@@H]3CCCOC3)c(=O)n2C)cn1,ATM,IC50,1.0,479.56,3.77,0,False,False,1,ATM,resistant,0.002,0.01,479.6,3.77,0,6,74.4,7,4,0.376,3.39,0,True,True,0,False,high,medium,97.5,True
CHEMBL5220685,CHEMBL5220685,COC(=O)[C@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,IC50,1.0,522.94,2.81,1,False,False,1,EZH2,resistant,0.002,0.01,522.9,2.81,1,9,117.6,9,3,0.334,3.64,1,True,True,0,False,high,low,91.7,True
CHEMBL201297,CHEMBL201297,COCCOc1cc2ncnc(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)c2cc1OC,AURKA,IC50,1.0,483.53,4.18,0,False,False,1,AURKA,resistant,0.002,0.01,483.5,4.18,2,9,107.5,10,4,0.324,2.54,0,True,True,0,False,high,medium,96.5,True
CHEMBL202567,CHEMBL202567,COc1cc2c(Nc3ncc(C(=O)Nc4ccc(F)cc4)s3)ncnc2cc1OCCCN1CCOCC1,AURKA,IC50,1.0,538.61,4.33,1,False,False,1,AURKA,resistant,0.002,0.01,538.6,4.33,2,10,110.7,10,4,0.285,2.61,1,True,True,0,False,high,medium,85.7,True
CHEMBL3142900,CHEMBL3142900,O=C[C@H](CC(=O)O)NC(=O)C1CCCN2C(=O)CC[C@H](NC(=O)c3ccccc3F)C(=O)N12,CD274,IC50,1.0,462.43,-0.39,0,False,False,1,CD274,immune,0.005,0.005,462.4,-0.39,3,6,153.2,7,1,0.467,3.65,0,False,True,0,False,medium,low,89.3,True
CHEMBL3898563,CHEMBL3898563,CO[C@H]1C[C@@H](n2c(=O)[nH]c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,IC50,1.03,447.54,3.62,0,False,False,1,ATM,resistant,0.001994,0.009968,447.5,3.62,1,6,85.3,8,4,0.415,2.83,0,True,True,0,False,high,medium,98.3,True
CHEMBL3950905,CHEMBL3950905,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,IC50,1.05,479.56,3.77,0,False,False,1,ATM,resistant,0.001989,0.009947,479.6,3.77,0,6,74.4,8,4,0.358,2.99,0,True,True,0,False,high,medium,97.2,True
CHEMBL3984179,CHEMBL3984179,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCC5)nc4)ccc3ncc21,ATM,IC50,1.05,459.55,3.12,0,False,False,1,ATM,resistant,0.001989,0.009947,459.6,3.12,1,6,85.4,7,4,0.428,2.8,0,True,True,0,False,high,medium,98.6,True
CHEMBL3237704,CHEMBL3237704,CC1(C)CCC(n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cn4)nc32)CC1,CDK6,IC50,1.1,456.6,4.67,0,False,False,1,CDK6,sensitive,0.009897,0.001484,456.6,4.67,2,7,83.8,4,4,0.462,3.0,0,True,True,0,False,high,medium,99.2,True
CHEMBL3698644,CHEMBL3698644,c1cc2c3cnc(Nc4cnc(N5CCNCC5)nc4)nc3n(C3CCCC3)c2cn1,CDK6,IC50,1.1,415.51,3.04,0,False,False,1,CDK6,sensitive,0.009897,0.001484,415.5,3.04,2,8,96.7,4,4,0.525,2.85,0,True,True,0,False,high,medium,100.0,True
CHEMBL562439,CHEMBL562439,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)N(C)C)CC4)c3n2)cc1,MTOR,IC50,1.1,507.6,2.4,1,False,False,1,MTOR,escape_route,0.003959,0.005938,507.6,2.4,2,7,120.8,4,3,0.556,2.78,1,True,True,0,False,high,low,96.1,True
CHEMBL3963290,CHEMBL3963290,Cn1c(=O)n(C2CCOCC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,IC50,1.12,487.6,4.17,0,False,False,1,ATM,resistant,0.001975,0.009877,487.6,4.17,0,6,74.4,7,4,0.365,2.79,0,True,True,0,False,high,medium,97.3,True
CHEMBL3912673,CHEMBL3912673,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n([C@H]3CCCOC3)c(=O)n2C)cn1,ATM,IC50,1.14,479.56,3.77,0,False,False,1,ATM,resistant,0.001972,0.009858,479.6,3.77,0,6,74.4,7,4,0.376,3.39,0,True,True,0,False,high,medium,97.5,True
