rank,chembl_id,name,smiles,target_gene,population_target,activity_type,activity_nM,qed,sa_score,pains_pass,hepatotox_risk,admet_score,est_emax_s,est_emax_r,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synthesizability,score_overall,novelty,target_in_trials
89,CHEMBL402548,CHEMBL402548,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,AURKA,resistant,IC50,13.0,0.571,3.02,True,low,100.0,0.001443,0.007215,57.7,100.0,100.0,72.2,100,77.6,82.0,,
90,CHEMBL541643,CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,PIK3CA,escape_route,IC50,2.5,0.769,2.44,True,low,100.0,0.003602,0.005403,60.0,99.8,100.0,64.8,100,84.0,81.9,,
91,CHEMBL541643,CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,PIK3CA,escape_route,IC50,2.5,0.769,2.44,True,low,100.0,0.003602,0.005403,60.0,99.8,100.0,64.8,100,84.0,81.9,,
92,CHEMBL207995,CHEMBL207995,COc1cc(C=O)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,resistant,IC50,14.0,0.831,2.58,True,low,100.0,0.001427,0.007135,57.1,100.0,100.0,71.4,100,82.4,81.9,,
93,CHEMBL69063,CHEMBL69063,COC(=O)c1cc2c([nH]1)C(=O)C=C1C2C(C)CN1C(=O)c1cc2cc(OC)c(OC)c(OC)c2[nH]1,MAP2K1,sensitive,IC50,0.0045,0.539,4.09,True,medium,100.0,0.0125,0.001875,95.8,88.0,100.0,18.8,100,65.7,81.8,,
94,CHEMBL558955,CHEMBL558955,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CO)cc5)cc4)nc32)CC1,MTOR,escape_route,IC50,0.08,0.306,2.78,True,medium,71.1,0.005,0.0075,83.3,80.0,71.1,90.0,100,80.2,81.7,,
95,CHEMBL35670,CHEMBL35670,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(OC)c(OC)c(OC)c4[nH]1)C3=CC2=O,MAP2K1,sensitive,IC50,0.045,0.526,4.4,True,medium,100.0,0.0125,0.001875,95.8,88.0,100.0,18.8,100,62.2,81.7,,
96,CHEMBL321638,CHEMBL321638,COc1ccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)cc1,PARP1,resistant,IC50,15.0,0.48,2.62,True,low,100.0,0.001412,0.00706,56.5,100.0,100.0,70.6,100,82.0,81.6,,
97,CHEMBL322133,CHEMBL322133,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Br)cc1,PARP1,resistant,IC50,15.0,0.647,2.69,True,low,100.0,0.001412,0.00706,56.5,100.0,100.0,70.6,100,81.2,81.6,,
98,CHEMBL321703,CHEMBL321703,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2ccncc2)cc1,PARP1,resistant,IC50,15.0,0.531,2.72,True,low,100.0,0.001412,0.00706,56.5,100.0,100.0,70.6,100,80.9,81.6,,
99,CHEMBL201197,CHEMBL201197,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4F)s3)ncnc2cc1OCCCN1CCC[C@H]1CO,AURKA,resistant,IC50,2.0,0.206,3.32,True,medium,74.1,0.001849,0.009247,74.0,87.8,74.1,92.5,100,74.2,81.5,,
100,CHEMBL445813,CHEMBL445813,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,ATR,resistant,Kd,16.0,0.653,2.73,True,low,100.0,0.001398,0.00699,55.9,100.0,100.0,69.9,100,80.8,81.3,,
101,CHEMBL557963,CHEMBL557963,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,escape_route,IC50,0.3,0.375,2.79,True,medium,87.5,0.004523,0.006784,75.4,80.0,87.5,81.4,100,80.1,81.3,,
102,CHEMBL445813,CHEMBL445813,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,ATR,resistant,Kd,16.0,0.653,2.73,True,low,100.0,0.001398,0.00699,55.9,100.0,100.0,69.9,100,80.8,81.3,,
103,CHEMBL86505,CHEMBL86505,COc1ccc(Cn2nc(-c3ccccc3)c(Cc3cc4c(cc3Cl)OCO4)c2C(=O)O)c(OCC(=O)O)c1,CHEK2,resistant,IC50,4.0,0.287,2.73,True,medium,85.7,0.001699,0.008495,68.0,87.6,85.7,85.0,100,80.8,81.2,,
104,CHEMBL538346,CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CB,escape_route,IC50,3.0,0.567,2.67,True,low,100.0,0.003523,0.005284,58.7,99.7,100.0,63.4,100,81.4,81.1,,
105,CHEMBL538346,CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CB,escape_route,IC50,3.0,0.567,2.67,True,low,100.0,0.003523,0.005284,58.7,99.7,100.0,63.4,100,81.4,81.1,,
106,CHEMBL5219922,CHEMBL5219922,Cn1cc(Cc2ccccc2OCCN2CCNC(=O)C2)c(-c2cc(Cl)nc(N)n2)n1,EZH2,resistant,IC50,16.9,0.534,2.91,True,low,100.0,0.001386,0.00693,55.4,100.0,100.0,69.3,100,78.8,81.0,,
107,CHEMBL199299,CHEMBL199299,COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ncc[nH]2)ccc1O,CHEK1,resistant,IC50,18.0,0.642,2.6,True,low,100.0,0.001372,0.006862,54.9,100.0,100.0,68.6,100,82.2,80.9,,
108,CHEMBL87801,CHEMBL87801,O=C(O)COc1ccccc1Cn1nc(-c2cccs2)c(Cc2cc3c(cc2Cl)OCO3)c1C(=O)O,CHEK2,resistant,IC50,4.6,0.319,2.82,True,medium,86.4,0.001669,0.008343,66.7,87.6,86.4,83.4,100,79.8,80.7,,
109,CHEMBL551440,CHEMBL551440,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,MTOR,escape_route,IC50,0.38,0.393,2.72,True,medium,87.9,0.00442,0.00663,73.7,80.0,87.9,79.6,100,80.9,80.7,,
110,CHEMBL551440,CHEMBL551440,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,MTOR,escape_route,IC50,0.38,0.393,2.72,True,medium,87.9,0.00442,0.00663,73.7,80.0,87.9,79.6,100,80.9,80.7,,
111,CHEMBL562999,CHEMBL562999,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NC5CC5)cc4)nc32)CC1,MTOR,escape_route,IC50,0.45,0.526,2.72,True,medium,90.5,0.004347,0.00652,72.4,80.0,90.5,78.2,100,80.9,80.6,,
112,CHEMBL538346,CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CA,escape_route,IC50,3.6,0.567,2.67,True,low,100.0,0.003444,0.005166,57.4,99.6,100.0,62.0,100,81.4,80.5,,
113,CHEMBL538346,CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,PIK3CA,escape_route,IC50,3.6,0.567,2.67,True,low,100.0,0.003444,0.005166,57.4,99.6,100.0,62.0,100,81.4,80.5,,
114,CHEMBL108341,CHEMBL108341,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2ccccc2)cc1,PARP1,resistant,IC50,20.0,0.54,2.57,True,low,100.0,0.001349,0.006747,54.0,100.0,100.0,67.5,100,82.6,80.4,,
115,CHEMBL108702,CHEMBL108702,Nc1cccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)c1,PARP1,resistant,IC50,20.0,0.362,2.72,True,low,100.0,0.001349,0.006747,54.0,100.0,100.0,67.5,100,80.9,80.4,,
116,CHEMBL314357,CHEMBL314357,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2cccnc2)nn1CC1CCCCC1,CHEK2,resistant,IC50,6.3,0.552,2.76,True,medium,91.0,0.0016,0.008002,64.0,87.4,91.0,80.0,100,80.4,80.3,,
117,CHEMBL107601,CHEMBL107601,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,PARP1,resistant,IC50,20.0,0.56,2.84,True,low,100.0,0.001349,0.006747,54.0,100.0,100.0,67.5,100,79.6,80.3,,
118,CHEMBL348326,CHEMBL348326,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,sensitive,IC50,0.5,0.592,4.51,True,low,100.0,0.010753,0.001613,82.4,100.0,100.0,16.1,100,61.0,80.2,,
119,CHEMBL108239,CHEMBL108239,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cccnn2)CC1,PARP1,resistant,IC50,20.0,0.56,2.92,True,low,100.0,0.001349,0.006747,54.0,100.0,100.0,67.5,100,78.7,80.2,,
120,CHEMBL5219530,CHEMBL5219530,COC(=O)c1ccccc1Cc1cn(C)nc1-c1cc(Cl)nc(N)n1,EZH2,resistant,IC50,21.0,0.569,2.65,True,low,100.0,0.001339,0.006694,53.6,100.0,100.0,66.9,100,81.7,80.2,,
121,CHEMBL201655,CHEMBL201655,CCCCc1cnc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)s1,AURKA,resistant,IC50,6.0,0.427,2.59,True,medium,88.5,0.001611,0.008055,64.4,87.5,88.5,80.5,100,82.3,80.1,,
122,CHEMBL206812,CHEMBL206812,CN(C)CCOc1cc(N2CCCC2)c(NC(=O)Nc2cnc(C#N)cn2)cc1Cl,CHEK1,resistant,IC50,10.0,0.696,2.65,True,medium,100.0,0.0015,0.0075,60.0,87.1,100.0,75.0,100,81.7,80.1,,
123,CHEMBL561708,CHEMBL561708,COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,MTOR,escape_route,IC50,4.3,0.582,2.68,True,low,100.0,0.003367,0.00505,56.1,99.6,100.0,60.6,100,81.3,79.9,,
124,CHEMBL550972,CHEMBL550972,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,MTOR,escape_route,IC50,0.52,0.393,2.61,True,medium,87.9,0.004284,0.006426,71.4,80.0,87.9,77.1,100,82.1,79.7,,
125,CHEMBL200783,CHEMBL200783,O/N=C/c1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1,BRAF,escape_route,Kd,5.0,0.323,2.29,True,low,100.0,0.003301,0.004952,55.0,99.5,100.0,59.4,100,85.7,79.6,,
126,CHEMBL432211,CHEMBL432211,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccc2ccccc2c1,PARP1,resistant,IC50,25.0,0.612,2.42,True,low,100.0,0.001301,0.006505,52.0,100.0,100.0,65.1,100,84.2,79.6,,
127,CHEMBL433356,CHEMBL433356,COc1ccc(C(=O)CNC(=O)CCn2c3c(c(=O)[nH]c2=O)CSCC3)cc1,PARP1,resistant,IC50,25.0,0.66,2.62,True,low,100.0,0.001301,0.006505,52.0,100.0,100.0,65.1,100,82.0,79.5,,
128,CHEMBL108623,CHEMBL108623,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cc(C(F)(F)F)ccn2)CC1,PARP1,resistant,IC50,20.0,0.566,2.97,True,low,96.3,0.001349,0.006747,54.0,100.0,96.3,67.5,100,78.1,79.5,,
129,CHEMBL202635,CHEMBL202635,COc1cc(CN2CCCCC2)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,resistant,IC50,12.0,0.794,2.48,True,medium,100.0,0.00146,0.007302,58.4,86.9,100.0,73.0,100,83.6,79.4,,
130,CHEMBL5220632,CHEMBL5220632,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCC(=O)N2CCOCC2)n1,EZH2,resistant,IC50,24.2,0.52,2.98,True,low,100.0,0.001308,0.00654,52.3,100.0,100.0,65.4,100,78.0,79.4,,
131,CHEMBL2140173,CHEMBL2140173,C[C@@H]1CN(CC(=O)Nc2ccc3c(c2)Cc2cccc(-c4cc(=O)cc(N5CCOCC5)o4)c2S3)C[C@H](C)O1,ATM,resistant,IC50,6.0,0.397,3.84,True,medium,87.9,0.001611,0.008055,64.4,87.5,87.9,80.5,100,68.4,79.3,,
132,CHEMBL108137,CHEMBL108137,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cncnc2)cc1,PARP1,resistant,IC50,25.0,0.516,2.84,True,low,100.0,0.001301,0.006505,52.0,100.0,100.0,65.1,100,79.6,79.3,,
133,CHEMBL108840,CHEMBL108840,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnn2)cc1,PARP1,resistant,IC50,25.0,0.516,2.85,True,low,100.0,0.001301,0.006505,52.0,100.0,100.0,65.1,100,79.4,79.3,,
134,CHEMBL200258,CHEMBL200258,Nc1nccc(-c2[nH]c(-c3ccccc3)nc2-c2ccc(Cl)c(O)c2)n1,BRAF,escape_route,Kd,5.7,0.507,2.4,True,low,100.0,0.003244,0.004866,54.1,99.4,100.0,58.4,100,84.4,79.1,,
135,CHEMBL1879463,CHEMBL1879463,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,ATM,resistant,IC50,7.0,0.324,2.71,True,medium,86.5,0.001577,0.007887,63.1,87.4,86.5,78.9,100,81.0,79.0,,
136,CHEMBL4878379,CHEMBL4878379,COC(=O)c1c(Cc2ccccc2)c(-c2cc(Cl)nc(N)n2)nn1C,EZH2,resistant,IC50,28.0,0.569,2.6,True,low,100.0,0.001276,0.006382,51.1,100.0,100.0,63.8,100,82.2,79.0,,
137,CHEMBL381250,CHEMBL381250,Oc1cc(-c2[nH]c(-c3cccnc3)nc2-c2ccncc2)ccc1Cl,BRAF,escape_route,IC50,6.0,0.569,2.39,True,low,100.0,0.003222,0.004833,53.7,99.4,100.0,58.0,100,84.6,78.9,,
138,CHEMBL3765783,CHEMBL3765783,C[C@@H]1CN(CC(=O)Nc2ccc3c(c2)Sc2cccc(-c4cc(=O)cc(N5CCOCC5)o4)c2S3)C[C@H](C)O1,ATM,resistant,IC50,6.3,0.367,3.89,True,medium,87.3,0.0016,0.008002,64.0,87.4,87.3,80.0,100,67.9,78.9,,
139,CHEMBL3142900,CHEMBL3142900,O=C[C@H](CC(=O)O)NC(=O)C1CCCN2C(=O)CC[C@H](NC(=O)c3ccccc3F)C(=O)N12,CD274,immune,IC50,1.0,0.467,3.65,True,low,89.3,0.005,0.005,66.7,99.9,89.3,50.0,100,70.6,78.9,,
140,CHEMBL131737,CHEMBL131737,COc1ccc(-c2nc3c(C(N)=O)cccc3n2C)cc1,PARP1,resistant,Ki,32.0,0.801,1.99,True,low,100.0,0.001247,0.006237,49.9,100.0,100.0,62.4,100,89.0,78.8,,
141,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEK1,resistant,IC50,9.5,0.406,4.95,True,medium,98.1,0.001511,0.007556,60.4,87.2,98.1,75.6,100,56.1,78.7,,
142,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEK1,resistant,IC50,9.5,0.406,4.95,True,medium,98.1,0.001511,0.007556,60.4,87.2,98.1,75.6,100,56.1,78.7,,
143,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEK1,resistant,IC50,9.5,0.406,4.95,True,medium,98.1,0.001511,0.007556,60.4,87.2,98.1,75.6,100,56.1,78.7,,
144,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEK1,resistant,IC50,9.5,0.406,4.95,True,medium,98.1,0.001511,0.007556,60.4,87.2,98.1,75.6,100,56.1,78.7,,
145,CHEMBL107935,CHEMBL107935,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Oc2ccccc2)cc1,PARP1,resistant,IC50,30.0,0.495,2.61,True,low,100.0,0.001261,0.006307,50.5,100.0,100.0,63.1,100,82.1,78.7,,
146,CHEMBL326660,CHEMBL326660,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccc2)CC1,PARP1,resistant,IC50,30.0,0.641,2.64,True,low,100.0,0.001261,0.006307,50.5,100.0,100.0,63.1,100,81.8,78.7,,
147,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEK1,resistant,IC50,9.5,0.406,4.95,True,medium,98.1,0.001511,0.007556,60.4,87.2,98.1,75.6,100,56.1,78.7,,
148,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEK1,resistant,IC50,9.5,0.406,4.95,True,medium,98.1,0.001511,0.007556,60.4,87.2,98.1,75.6,100,56.1,78.7,,
149,CHEMBL108968,CHEMBL108968,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(OC(=O)c2ccccc2)cc1,PARP1,resistant,IC50,30.0,0.279,2.65,True,low,100.0,0.001261,0.006307,50.5,100.0,100.0,63.1,100,81.7,78.7,,
150,CHEMBL200889,CHEMBL200889,CC(C)(CN)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,BRAF,escape_route,IC50,6.0,0.674,2.72,True,low,100.0,0.003222,0.004833,53.7,99.4,100.0,58.0,100,80.9,78.7,,
151,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEK1,resistant,IC50,9.5,0.406,4.95,True,medium,98.1,0.001511,0.007556,60.4,87.2,98.1,75.6,100,56.1,78.7,,
152,CHEMBL110115,CHEMBL110115,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(OC(F)F)cc1,PARP1,resistant,IC50,30.0,0.601,2.79,True,low,100.0,0.001261,0.006307,50.5,100.0,100.0,63.1,100,80.1,78.6,,
153,CHEMBL312979,CHEMBL312979,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccco2)nn1CC1CCCCC1,CHEK2,resistant,IC50,9.8,0.55,2.84,True,medium,91.0,0.001504,0.007522,60.2,87.1,91.0,75.2,100,79.6,78.3,,
154,CHEMBL304624,CHEMBL304624,Oc1cccc(-c2nc(-c3ccccc3)[nH]c2-c2ccncc2)c1,BRAF,escape_route,Kd,8.0,0.585,2.11,True,low,100.0,0.003097,0.004645,51.6,99.2,100.0,55.7,100,87.7,78.0,,
155,CHEMBL208728,CHEMBL208728,N#Cc1cnc(NC(=O)Nc2cc(Cl)c(OCC3CCCO3)cc2N2CCCC2)cn1,CHEK1,resistant,IC50,15.0,0.699,3.14,True,medium,100.0,0.001412,0.00706,56.5,86.7,100.0,70.6,100,76.2,78.0,,
156,CHEMBL430707,CHEMBL430707,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccn2)CC1,PARP1,resistant,IC50,35.0,0.603,2.77,True,low,100.0,0.001228,0.00614,49.1,100.0,100.0,61.4,100,80.3,78.0,,
157,CHEMBL200320,CHEMBL200320,NCc1ccc(-c2nc(-c3ccc(Cl)c(O)c3)c(-c3ccncc3)[nH]2)cc1,BRAF,escape_route,IC50,8.0,0.484,2.38,True,low,100.0,0.003097,0.004645,51.6,99.2,100.0,55.7,100,84.7,77.9,,
158,CHEMBL373013,CHEMBL373013,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCNCCO,AURKA,resistant,IC50,5.0,0.193,2.69,True,medium,73.9,0.001651,0.008253,66.0,87.6,73.9,82.5,100,81.2,77.9,,
159,CHEMBL314206,CHEMBL314206,COc1ccc(Cn2nc(-c3cccs3)c(Cc3cc4c(cc3Cl)OCO4)c2C(=O)O)c(OCC(=O)O)c1,CHEK2,resistant,IC50,8.6,0.283,2.89,True,medium,85.7,0.001533,0.007664,61.3,87.2,85.7,76.6,100,79.0,77.8,,
160,CHEMBL112207,CHEMBL112207,CC(C)[C@H](CC(=O)NCCc1cn(C)c2ccccc12)C(=O)NC(CC(=O)O)C(=O)CNS(=O)(=O)CC12CCC(CC1=O)C2(C)C,CD274,immune,IC50,0.4,0.212,5.0,True,low,74.2,0.005497,0.005497,73.3,100.0,74.2,55.0,100,55.6,77.8,,
161,CHEMBL393525,CHEMBL393525,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,PIK3CA,escape_route,IC50,7.8,0.336,2.89,True,low,100.0,0.003108,0.004662,51.8,99.2,100.0,55.9,100,79.0,77.7,,
162,CHEMBL393525,CHEMBL393525,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,PIK3CA,escape_route,IC50,7.8,0.336,2.89,True,low,100.0,0.003108,0.004662,51.8,99.2,100.0,55.9,100,79.0,77.7,,
163,CHEMBL191816,CHEMBL191816,CC(C)(C)c1ccc(C(=O)Nc2n[nH]c3c2CN(C(=O)c2ccco2)C3)cc1,AURKA,resistant,IC50,41.0,0.727,2.48,True,low,100.0,0.001194,0.005968,47.7,100.0,100.0,59.7,100,83.6,77.5,,
164,CHEMBL110178,CHEMBL110178,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccncc2)CC1,PARP1,resistant,IC50,40.0,0.603,2.8,True,low,100.0,0.001199,0.005995,48.0,100.0,100.0,60.0,100,80.0,77.4,,
165,CHEMBL155513,CHEMBL155513,CCCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,FOLH1,other,IC50,3.388,0.536,3.67,True,low,100.0,0.004338,0.004338,57.8,99.7,100.0,43.4,100,70.3,77.3,,
166,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,PARP2,resistant,Kd,13.0,0.406,4.95,True,medium,98.1,0.001443,0.007215,57.7,86.9,98.1,72.2,100,56.1,77.3,,
167,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,PARP2,resistant,Kd,13.0,0.406,4.95,True,medium,98.1,0.001443,0.007215,57.7,86.9,98.1,72.2,100,56.1,77.3,,
168,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,PARP2,resistant,Kd,13.0,0.406,4.95,True,medium,98.1,0.001443,0.007215,57.7,86.9,98.1,72.2,100,56.1,77.3,,
169,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,PARP2,resistant,Kd,13.0,0.406,4.95,True,medium,98.1,0.001443,0.007215,57.7,86.9,98.1,72.2,100,56.1,77.3,,
170,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,PARP2,resistant,Kd,13.0,0.406,4.95,True,medium,98.1,0.001443,0.007215,57.7,86.9,98.1,72.2,100,56.1,77.3,,
171,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,PARP2,resistant,Kd,13.0,0.406,4.95,True,medium,98.1,0.001443,0.007215,57.7,86.9,98.1,72.2,100,56.1,77.3,,
172,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,PARP2,resistant,Kd,13.0,0.406,4.95,True,medium,98.1,0.001443,0.007215,57.7,86.9,98.1,72.2,100,56.1,77.3,,
173,CHEMBL315622,CHEMBL315622,O=C(O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1Cc1cccc(Cl)c1,CHEK2,resistant,IC50,11.0,0.37,2.51,True,medium,87.4,0.001479,0.007397,59.2,87.0,87.4,74.0,100,83.2,77.2,,
174,CHEMBL205951,CHEMBL205951,COc1cc(C=O)ccc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,resistant,IC50,45.0,0.831,2.41,True,low,100.0,0.001173,0.005867,46.9,100.0,100.0,58.7,100,84.3,77.1,,
175,CHEMBL200412,CHEMBL200412,O/N=C/c1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1Cl,BRAF,escape_route,Kd,6.0,0.29,2.44,True,low,90.8,0.003222,0.004833,53.7,99.4,90.8,58.0,100,84.0,77.0,,
176,CHEMBL25802,CHEMBL25802,Oc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,AR,sensitive,EC50,2.0,0.741,3.66,True,low,100.0,0.009247,0.001387,70.9,100.0,100.0,13.9,100,70.4,76.9,,
177,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,escape_route,IC50,1.5,0.406,4.95,True,medium,98.1,0.003824,0.005736,63.7,79.9,98.1,68.8,100,56.1,76.8,,
178,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,escape_route,IC50,1.5,0.406,4.95,True,medium,98.1,0.003824,0.005736,63.7,79.9,98.1,68.8,100,56.1,76.8,,
179,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,AKT1,escape_route,IC50,1.5,0.406,4.95,True,medium,98.1,0.003824,0.005736,63.7,79.9,98.1,68.8,100,56.1,76.8,,
