gene,n_diseases,max_score
TREM2,41,0.10030918434477017
CLEC4E,41,0.09089498191685569
XBP1,41,0.08541064002702735
H3P16,41,0.07720866495114549
KDR,41,0.08730793933580326
DUSP1,41,0.09076155661666684
IGHM,41,0.10577413232311852
NLRC4,41,0.10743933271235638
PRKDC,41,0.08542394429830992
FLT3LG,41,0.07003829973000765
MAP2K7,41,0.3711998792271848
IDO2,41,0.03960746486841029
DPP7,40,0.05509916364422177
NOD1,40,0.07743599962235119
STAT5A,40,0.04722814273859056
VDAC1,40,0.045165870267624
TPO,40,0.09629684186437334
RB1,40,0.06270340070261199
IL32,40,0.07941750578150267
DEFB1,40,0.15685862914802576
RABEPK,40,0.09343308708161135
ARMH1,40,0.09343308708161135
SPI1,40,0.0650067841665465
CD1C,40,0.09663421238487138
KITLG,40,0.06337956670650664
CEACAM5,40,0.05573546318161951
TPPP,40,0.08948812641835065
DDIT3,40,0.07865290123258958
COX8A,40,0.05200535226367961
DEFA1,40,0.09607126264353777
GDF15,40,0.11303117637236575
IGKV1-16,40,0.09705892356854819
TSLP,40,0.4137229138990207
KLK3,40,0.04545924673016053
LNPEP,40,0.09493891774601071
BRMS1L,40,0.09343728831785265
IL12B,40,0.06110591132631983
IFIT1,40,0.09922671991887431
H3P28,40,0.09343308708161135
LAMP1,40,0.0988544671618997
CCL19,40,0.07525895245975028
CREB1,40,0.4629011449026652
CREBBP,40,0.1780434451216279
ABL1,40,0.07742770948911486
NOTCH1,40,0.06886841693635162
ARHGAP4,40,0.06012904560086578
PSMD7,40,0.47740207796146955
EGR1,40,0.11442420019890846
DNAH8,40,0.11840796672170491
GSK3B,40,0.3020989984405075
CSF1R,40,0.03718821815414187
CFP,40,0.046801230552827325
CST3,40,0.08100858164913385
TYMS,40,0.04266260503867036
FUT2,40,0.3610526413990361
BLOC1S6,40,0.05118940962681839
LCK,40,0.4814717807914541
CR1,40,0.1015919042381981
HSPA14,40,0.042182838144607375
GCNT2,40,0.039700462066016545
CD46,39,0.1057794821659755
NEAT1,39,0.11509303091130009
CAP1,39,0.2598880739659651
EIF4E,39,0.07184076125574228
TKT,39,0.08902691956468936
RAF1,39,0.10723449368679065
IFI27,39,0.06058449018201524
TRGC1,39,0.048032186508817756
TAC1,39,0.21393200143235966
PPIA,39,0.6227433376350221
PPIG,39,0.05728095291679496
MCL1,39,0.10789579539058014
DEFA1B,39,0.0839328723148848
CD83,39,0.06210740056372494
PGP,39,0.044990665345564736
TNFSF11,39,0.08882324853217953
GLP1R,39,0.3628218270015105
KRT18,39,0.10696359344361646
IFIT3,39,0.04483468323264555
MDM2,39,0.08695415302129884
CCL22,39,0.0745394596064066
GPBAR1,39,0.09263540640579523
MUC2,39,0.05473817223690266
NAMPT,39,0.07548507878508688
PADI4,39,0.0778426450322875
SSTR2,38,0.07992537753715083
S100A1,38,0.09541929478450993
CD1A,38,0.08628097055871353
MT-CO1,38,0.11100746880159836
GSDMB,38,0.23626872275957234
ZAP70,38,0.06881248298741052
IGKV1-27,38,0.10159156861458281
FCGR2C,38,0.06312069688506886
UBXN11,38,0.040332713664580744
SCYL1,38,0.06372729216386941
DHX58,38,0.08449514324108476
HLA-DQA1,38,0.0889838570446587
PTGS1,38,0.34527946593530023
MUC16,38,0.09129404918152344
JAK3,38,0.07510991465441481
EHMT1,38,0.07590966183526048
ATN1,38,0.07202858183817008
TNFSF14,38,0.07102839513268215
HSP90B1,38,0.052221084094066623
LAMB2,38,0.37080801258384577
ANXA2,38,0.09633975550173093
LY96,38,0.3286847481105579
SORBS1,38,0.09492281172196652
TNFRSF8,38,0.11284713996597841
TNFRSF4,38,0.10596393663055341
IFITM3,38,0.11208823965488816
TIMP2,38,0.051621145394769946
NRSN1,38,0.2472813863914618
TRIM27,38,0.3746550261944778
CCL7,38,0.08537503704488103
CFB,38,0.07400497920106557
ACKR3,38,0.03427330137272685
IFNL1,38,0.09336186043238243
HPSE,38,0.05993540309373588
FOXO3,38,0.1001495736845011
TSC1,38,0.10321981230116918
PNP,38,0.0975424661934276
NGF,38,0.3186804287319369
HACD1,38,0.09492281172196652
ERBB2,38,0.0658093281390614
TAF8,38,0.579883991399647
C4B,38,0.03370186752816526
PLA2G4A,38,0.07867490960277285
CALHM3,37,0.031582843106796044
PCYT1A,37,0.05159791605407628
USP18,37,0.735580713544458
ADAR,37,0.09164153384277783
SLC5A2,37,0.3008884688910677
LDHA,37,0.056184580209448984
PTK2B,37,0.08299991816706954
H3C10,37,0.5088882011427547
NR4A1,37,0.052493623447432365
BTLA,37,0.09601307089922023
STAT2,37,0.7554748346088798
HLA-E,37,0.07829301052923837
CEBPA,37,0.054858554880736536
BCL2L1,37,0.07920580154823101
ENTPD1,37,0.08449670477401935
MAP2K1,37,0.3719675267093558
GAD1,37,0.03997804480693048
IRAK1,37,0.08798952636833153
AIF1,37,0.060916624915344726
ITGB1,37,0.5279322463439312
F2R,37,0.061799858524921834
ZFP36,37,0.06037567454734858
MST1,37,0.06452531729230775
CACNA1C,37,0.2825429132955607
KLRC1,37,0.09169269365717041
MARCO,37,0.2730041705522517
