smiles,target_gene,generation_method,qed,sa_score,mw,predicted_ic50_nM,binding_energy_kcal,best_similarity,mean_similarity,confidence,n_references
O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC5CC5)CC4)c3n2)cc1)Nc1cccnc1,MTOR,r_group,0.34,5.4,583.7,0.4,-12.22,0.431,0.36,0.647,10
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccoc4)nc32)CC1.NC(=O)Nc1ccc(CO)cc1,MTOR,bioisostere,0.319,5.2,578.6,0.4,-12.23,0.474,0.411,0.711,10
CC(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,r_group,0.333,5.4,585.7,0.4,-12.23,0.575,0.473,0.863,10
NOC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,r_group,0.31,5.1,558.6,0.4,-12.22,0.504,0.442,0.756,10
O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OF)CC4)c3n2)cc1)Nc1cccnc1,MTOR,r_group,0.37,5.1,561.6,0.4,-12.23,0.516,0.456,0.774,10
CO.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,bioisostere,0.315,5.4,589.7,0.4,-12.23,0.545,0.472,0.817,10
CCNC(=O)Nc1ccsc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,bioisostere,0.542,4.5,516.6,0.4,-12.22,0.451,0.362,0.676,10
CCNC(=O)Nc1ccoc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,bioisostere,0.553,4.5,500.6,0.4,-12.23,0.477,0.373,0.716,10
CCNC(=O)Nc1ccncc1.COC(=O)N1CCC(n2ncc3c(N4CCOCC4)ncnc32)CC1,MTOR,bioisostere,0.54,4.6,511.6,0.4,-12.22,0.449,0.372,0.674,10
CN(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,r_group,0.322,5.4,586.7,0.4,-12.23,0.55,0.461,0.825,10
CN(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,MTOR,r_group,0.322,5.4,586.7,0.4,-12.23,0.584,0.476,0.876,10
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccoc4)nc32)CC1.NC(=O)Nc1ccncc1,MTOR,bioisostere,0.386,5.0,549.6,0.4,-12.23,0.454,0.391,0.682,10
N#COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,r_group,0.34,5.2,568.6,0.4,-12.23,0.513,0.424,0.77,10
O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OCl)CC4)c3n2)cc1)Nc1cccnc1,MTOR,r_group,0.355,5.1,578.0,0.4,-12.22,0.466,0.436,0.699,10
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccncc4)nc32)CC1.NC(=O)Nc1ccc(CO)cc1,MTOR,bioisostere,0.314,5.4,589.7,0.4,-12.23,0.467,0.413,0.7,10
