chembl_id,smiles,target_gene,population_target,source,activity_nM,mw,qed,sa_score,admet_score,best_similarity,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synth,score_overall,rank,herg_alerts,herg_risk,brenk_alerts,mutagenicity_risk,cyp_2d6_risk,cyp_3a4_risk,reactive_alerts,tox_score,offtarget_flags,n_offtarget_flags,selectivity_score,score_tox,score_selectivity_new,score_rebalanced,rank_new
CHEMBL383264,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,AKT1,escape_route,scout1,1.3,0.0,0.437,2.88,100.0,,database,95.2,99.9,100.0,66.7,70,79.1,91.0,30,0,medium,0,low,high,low,0,75,['serotonin_5HT2'],1,85,75,85,86.0,54
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,PIK3CA,escape_route,scout1,2.5,0.0,0.769,2.44,100.0,,database,85.9,99.8,100.0,60.1,70,84.0,87.4,53,0,medium,0,low,low,low,0,85,[],0,100,85,100,85.9,55
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,PIK3CA,escape_route,scout1,2.5,0.0,0.769,2.44,100.0,,database,85.9,99.8,100.0,60.1,70,84.0,87.4,52,0,medium,0,low,low,low,0,85,[],0,100,85,100,85.9,56
CHEMBL3951966,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3(C)CCOCC3)c(=O)n2C)cn1,ATM,resistant,scout1,2.03,0.0,0.363,3.22,97.3,,database,88.9,79.8,97.3,88.9,70,75.3,86.7,56,1,medium,0,low,high,low,0,75,[],0,100,75,100,85.8,57
,Cl.NC(=O)c1cccc2[nH]c(-c3ccoc3)nc12,PARP1,resistant,scout2,5.83,263.7,0.744,2.2,70.0,0.55,bioisostere,73.7,99.4,70.0,73.7,100,86.7,81.4,134,0,low,0,low,low,low,0,100,[],0,100,100,100,85.7,58
CHEMBL426811,N#Cc1cnc(NC(=O)Nc2cc(Cl)ccc2OC2CCOCC2)cn1,CHEK1,resistant,scout1,5.0,0.0,0.851,2.58,100.0,,database,75.9,99.5,100.0,75.9,70,82.4,86.7,55,0,medium,0,low,low,low,0,85,[],0,100,85,100,85.7,59
,Cl.NC(=O)c1cccc2[nH]c(-c3cc[nH]c3)nc12,PARP1,resistant,scout2,5.84,262.7,0.66,2.2,70.0,0.549,bioisostere,73.7,99.4,70.0,73.7,100,86.7,81.4,135,0,low,0,low,low,low,0,100,[],0,100,100,100,85.7,60
,Cl.NC(=O)c1cccc2[nH]c(-c3ccsc3)nc12,PARP1,resistant,scout2,5.84,279.8,0.757,2.2,70.0,0.58,bioisostere,73.7,99.4,70.0,73.7,100,86.7,81.4,137,0,low,0,low,low,low,0,100,[],0,100,100,100,85.7,61
,NC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccsc2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.41,458.0,0.547,3.9,70.0,0.547,bioisostere,81.4,99.7,70.0,81.4,100,67.8,83.9,86,0,medium,0,low,low,low,0,85,[],0,100,85,100,85.7,62
,NC(=O)c1c(Cc2cc3c(cc2Cl)OCO3)c(-c2ccccc2)nn1CC1CCCCC1,CHEK2,resistant,scout2,3.41,452.0,0.558,4.0,70.0,0.655,r_group,81.4,99.7,70.0,81.4,100,66.7,83.9,84,0,medium,0,low,low,low,0,85,[],0,100,85,100,85.6,63
CHEMBL3957991,CN(C)CCCOc1ccc(-c2cc3c(cc2F)ncc2c3n(C3COC3)c(=O)n2C)cn1,ATM,resistant,scout1,3.8,0.0,0.402,2.96,100.0,,database,79.9,99.6,100.0,79.9,70,78.2,88.3,48,1,medium,0,low,high,low,0,75,[],0,100,75,100,85.6,64
