gene,patient
NELL2,1.6
ABCC8,1.6
MYO3A,1.6
RTN4,1.6
BLTP3B,1.6
DISP1,1.6
MYO9A,1.6
SPATA31E1,1.6
DMBT1,1.6
RPS6KA4,1.6
RUSC1,1.6
DMXL2,1.6
ABCA4,1.6
ABCA8,1.6
NAALADL1,1.6
DENND4B,1.6
SPAG9,1.6
SPAG17,1.6
DNAAF9,1.6
RPL22,1.6
DNAH12,1.6
ABCC12,1.6
BRD10,1.6
MST1R,1.6
SCAF1,1.6
CTTNBP2,1.6
RBMXL2,1.6
SCN9A,1.6
MAST4,1.6
SNAPC4,1.6
NOS2,1.6
NOTCH3,1.6
RBL2,1.6
CACHD1,1.6
ATXN1,1.6
TSKS,1.6
USP35,1.6
ERN2,1.6
NPHS1,1.6
ATP9B,1.6
NPHS2,1.6
STARD8,1.6
ZNFX1,1.6
MAP3K6,1.6
DHX30,1.6
NRAP,1.6
NRG3,1.6
MAGI2,1.6
ZFYVE28,1.6
AXDND1,1.6
UNC93B1,1.6
NMUR2,1.6
TUBGCP6,1.6
ACHE,1.6
NFATC1,1.6
EHBP1,1.6
EHBP1L1,1.6
NHS,1.6
MMP16,1.6
EHMT1,1.6
NINL,1.6
EIF3A,1.6
EIF4G1,1.6
RERE,1.6
SRRM2,1.6
NKAPL,1.6
USF3,1.6
MET,1.6
NLRP1,1.6
MED24,1.6
EML3,1.6
SCN3A,1.6
MDC1,1.6
AGAP2,1.6
MYO19,1.6
PCDHGA10,1.6
POLR2A,1.6
COL5A2,1.6
COL6A1,1.6
TIAM1,1.6
COL6A6,1.6
JHY,1.6
HOMEZ,1.6
SIPA1L1,1.6
GRM6,1.6
PCNX2,1.6
POLR1A,1.6
ARHGEF28,1.6
JPH3,1.6
CEMIP2,1.6
SIPA1,1.6
CHRM2,1.6
CFAP54,1.6
GPR158,1.6
TECPR1,1.6
WDR6,1.6
PKDREJ,1.6
INTS1,1.6
KAT6A,1.6
TMPRSS9,1.6
FZD10,1.6
ANO5,1.6
CDH8,1.6
SH2D3C,1.6
HEPHL1,1.6
AOX1,1.6
ITGAD,1.6
TNR,1.6
THBS1,1.6
HRC,1.6
COL18A1,1.6
CGNL1,1.6
CDKN1B,1.6
CLIC6,1.6
ITGB4,1.6
COL19A1,1.6
GRID2IP,1.6
GRIK2,1.6
COL1A1,1.6
XIRP1,1.6
ARHGAP35,1.6
TNS1,1.6
GRIK5,1.6
ARHGAP39,1.6
ITPR1,1.6
SH3PXD2A,1.6
CHD7,1.6
PPP4R1,1.6
IKZF1,1.6
PLCL1,1.6
ARHGEF10,1.6
MYO1A,1.6
CNGA4,1.6
CEP131,1.6
PIGQ,1.6
PCDHB6,1.6
OTOF,1.6
KCNH7,1.6
HECTD1,1.6
PCDHA9,1.6
KCNH8,1.6
AGT,1.6
ANKRD35,1.6
HEATR5A,1.6
KCNQ5,1.6
PIK3C2B,1.6
TMEM132D,1.6
VPS13C,1.6
KIAA0586,1.6
ALMS1,1.6
PML,1.6
AGRN,1.6
PIK3R1,1.6
CEP250,1.6
CIC,1.6
GMIP,1.6
KDM5A,1.6
IGFN1,1.6
CEP350,1.6
PITPNM1,1.6
PLXNA4,1.6
ANKRD12,1.6
KIF20B,1.6
PRRC2B,1.6
GLI1,1.6
ANLN,1.6
CD1E,1.6
GLI3,1.6
CKAP5,1.6
KCND2,1.6
INSC,1.6
KCNH2,1.6
SETDB1,1.6
ANO1,1.6
HEG1,1.6
HTR5A,1.4
EML5,1.4
WAPL,1.4
EEF2,1.4
VSTM2A,1.4
IKBKB,1.4
MRC2,1.4
ENPP4,1.4
SPTBN1,1.4
EML6,1.4
MPRIP,1.4
UPF2,1.4
CGN,1.4
DBH,1.4
MGAT5B,1.4
GON4L,1.4
MPHOSPH9,1.4
VWA3A,1.4
CLTC,1.4
CYP7B1,1.4
MIA3,1.4
IGF2BP1,1.4
IGF1R,1.4
CFAP46,1.4
GREB1,1.4
TTF1,1.4
TEX15,1.4
C1ORF94,1.4
ZMYND10,1.4
ZMYND8,1.4
MOXD1,1.4
MEOX2,1.4
SREBF2,1.4
MOGS,1.4
TTLL4,1.4
CLMN,1.4
C2ORF78,1.4
GPR37L1,1.4
TET3,1.4
CFB,1.4
TMEM43,1.4
TTC21B,1.4
UNC79,1.4
TPR,1.4
THBS4,1.4
DCST1,1.4
UBQLNL,1.4
MYH3,1.4
DNAAF11,1.4
MYH10,1.4
MYEOV,1.4
MYCBPAP,1.4
BPIFB4,1.4
TMEM132E,1.4
SPATC1,1.4
BPTF,1.4
CHST1,1.4
CHRNG,1.4
UBN2,1.4
TLN1,1.4
HFM1,1.4
HEATR6,1.4
BOC,1.4
TLR9,1.4
DISP2,1.4
CILP2,1.4
DHX37,1.4
MYO18A,1.4
HDAC2,1.4
DIP2B,1.4
HDAC5,1.4
DISP3,1.4
HDLBP,1.4
HDAC9,1.4
MYLK,1.4
DLEC1,1.4
DLG5,1.4
DLGAP1,1.4
MYH7,1.4
HIP1,1.4
HIPK2,1.4
DNM1,1.4
WDTC1,1.4
DSCAM,1.4
CLEC16A,1.4
MTSS1,1.4
CHD3,1.4
DDB1,1.4
GRIA1,1.4
MTERF4,1.4
UBA7,1.4
UNC5C,1.4
THEMIS,1.4
UNC5CL,1.4
TMEM200C,1.4
MSH6,1.4
MSH2,1.4
GRIP1,1.4
DDR2,1.4
GUCY1A2,1.4
CLCN7,1.4
GTF3C1,1.4
DNMBP,1.4
GSDMC,1.4
UMOD,1.4
WDR7,1.4
WDR72,1.4
BRINP3,1.4
GRK6,1.4
TLE1,1.4
DOCK7,1.4
BRWD3,1.4
DOP1B,1.4
UBASH3B,1.4
CHEK2,1.4
ZNF208,1.4
TMPRSS2,1.4
GOLGB1,1.4
SVIL,1.4
SUSD2,1.4
TRIM32,1.4
GABBR2,1.4
GAA,1.4
FBXL7,1.4
LIG4,1.4
KANSL1L,1.4
TONSL,1.4
SUPT5H,1.4
FZD2,1.4
TRDN,1.4
VPS13D,1.4
SYNJ1,1.4
CCDC171,1.4
KCNA4,1.4
CCDC183,1.4
CRYBB1,1.4
CDH12,1.4
LRFN5,1.4
CATSPERT,1.4
JAG2,1.4
STYXL2,1.4
CDH9,1.4
UTRN,1.4
LPA,1.4
JAKMIP1,1.4
CATSPERG,1.4
SUCO,1.4
COL9A3,1.4
FANCM,1.4
COL9A1,1.4
LMX1A,1.4
CDH18,1.4
FBLN2,1.4
FBN1,1.4
COL9A2,1.4
