chembl_id,name,smiles,target_gene,activity_type,activity_nM,mw,logp,lipinski_violations,is_approved,is_clinical,n_net_targets,net_targets
CHEMBL191513,CHEMBL191513,COc1ccc(C(=O)C(=O)c2ccc(OC)cc2)cc1,FOLH1,Ki,70.2,270.28,2.77,0,False,False,1,FOLH1
CHEMBL141247,CHEMBL141247,O=C(Nc1ccccn1)Nc1cccc2c1[C@H]1CCCN1C2=O,CDK6,IC50,71.0,308.34,3.02,0,False,False,1,CDK6
CHEMBL200226,CHEMBL200226,OCc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1,BRAF,Kd,71.0,327.39,4.3,0,False,False,1,BRAF
CHEMBL370059,CHEMBL370059,O=C(O)c1ccc(C(=O)C(=O)c2ccccc2)cc1,FOLH1,Ki,71.5,254.24,2.45,0,False,False,1,FOLH1
CHEMBL255592,CHEMBL255592,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(C#Cc4cccnc4)ccc3ncc21,PIK3CA,IC50,72.0,443.51,4.47,0,False,False,1,PIK3CA
CHEMBL206143,CHEMBL206143,COc1ccc(CCC(=O)Nc2cc(OC)c(NC(=O)Nc3cnc(C#N)cn3)cc2Cl)cc1,CHEK1,IC50,72.0,480.91,4.23,0,False,False,1,CHEK1
CHEMBL366205,CHEMBL366205,O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O,FOLH1,Ki,72.7,400.02,3.69,0,False,False,1,FOLH1
CHEMBL282866,CHEMBL282866,CCC1(CC)CCNc2cc3nc(O)cc(C(F)(F)F)c3cc21,AR,IC50,73.0,324.35,4.83,0,False,False,1,AR
CHEMBL526092,CHEMBL526092,CCC1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,CDK4,IC50,73.0,257.3,1.29,0,False,False,1,CDK4
CHEMBL445340,CHEMBL445340,CC(C)C1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,CDK4,IC50,73.0,271.32,1.54,0,False,False,1,CDK4
CHEMBL208537,CHEMBL208537,COc1cc(CN2CCN(C)CC2)ccc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,IC50,73.0,381.44,1.75,0,False,False,1,CHEK1
