chembl_id,name,smiles,target_gene,population_target,source,activity_nM,mw,logp,qed,sa_score,admet_score,est_emax_s,est_emax_r,generation_method,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synthesizability,score_overall,rank
CHEMBL551442,CHEMBL551442,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCNCC4)c3n2)cc1,MTOR,escape_route,scout1,1.4,0.0,0.0,0.574,2.67,100.0,0.003854,0.005781,database_search,64.2,99.9,100.0,69.4,80,81.4,82.7,62
CHEMBL5220347,CHEMBL5220347,Cn1cc(Cc2ccccc2OCCN2CC3(COC3)C2)c(-c2cc(Cl)nc(N)n2)n1,EZH2,resistant,scout1,7.8,0.0,0.0,0.564,3.47,100.0,0.001554,0.00777,database_search,62.2,99.2,100.0,77.7,80,72.6,82.7,63
CHEMBL205449,CHEMBL205449,COc1cc(CN2CCCCC2)ccc1NC(=O)Nc1cnc(C#N)cn1,CHEK1,resistant,scout1,10.0,0.0,0.0,0.843,2.33,100.0,0.0015,0.0075,database_search,60.0,99.0,100.0,75.0,80,85.2,82.3,64
CHEMBL385266,CHEMBL385266,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(C(=O)[C@H](F)c3ccccc3)C4)cc2)CC1,AURKA,resistant,scout1,9.0,0.0,0.0,0.609,3.1,100.0,0.001523,0.007614,database_search,60.9,99.1,100.0,76.1,80,76.7,82.3,65
CHEMBL193117,CHEMBL193117,CN1CCC(Oc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)CC1,CHEK1,resistant,scout1,10.0,0.0,0.0,0.836,2.56,100.0,0.0015,0.0075,database_search,60.0,99.0,100.0,75.0,80,82.7,82.1,66
CHEMBL477989,SB590885,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,BRAF,escape_route,scout1,0.3,0.0,0.0,0.308,2.72,96.2,0.004523,0.006784,database_search,75.4,80.0,96.2,81.4,80,80.9,82.1,67
CHEMBL3898577,CHEMBL3898577,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(OCCCN(C)C)nc5F)cc4c32)C1,ATM,resistant,scout1,2.62,0.0,0.0,0.272,3.14,95.4,0.001791,0.008954,database_search,71.6,79.8,95.4,89.5,80,76.2,81.8,68
CHEMBL384304,CHEMBL384304,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,ATR,resistant,scout1,11.0,0.0,0.0,0.644,2.66,100.0,0.001479,0.007397,database_search,59.2,98.9,100.0,74.0,80,81.6,81.7,69
CHEMBL384304,CHEMBL384304,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,ATR,resistant,scout1,11.0,0.0,0.0,0.644,2.66,100.0,0.001479,0.007397,database_search,59.2,98.9,100.0,74.0,80,81.6,81.7,70
CHEMBL538378,CHEMBL538378,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,MTOR,escape_route,scout1,0.2,0.0,0.0,0.375,2.78,87.5,0.004699,0.007048,database_search,78.3,80.0,87.5,84.6,80,80.2,81.7,71
