modifier,target,score,modifier_function,effect
EZH2,BRCA1,926,Histone methyltransferase,H3K27me3 (silencing)
EZH2,ESR1,915,Histone methyltransferase,H3K27me3 (silencing)
EZH2,RBBP7,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SUV39H1,957,Histone methyltransferase,H3K27me3 (silencing)
EZH2,RBBP4,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,JAK2,768,Histone methyltransferase,H3K27me3 (silencing)
EZH2,ARID1A,877,Histone methyltransferase,H3K27me3 (silencing)
EZH2,RNF2,998,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SIN3A,847,Histone methyltransferase,H3K27me3 (silencing)
EZH2,ATRX,933,Histone methyltransferase,H3K27me3 (silencing)
EZH2,IDH1,721,Histone methyltransferase,H3K27me3 (silencing)
EZH2,ZBTB16,852,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CDKN1A,739,Histone methyltransferase,H3K27me3 (silencing)
EZH2,RING1,989,Histone methyltransferase,H3K27me3 (silencing)
EZH2,WDR5,904,Histone methyltransferase,H3K27me3 (silencing)
EZH2,AR,978,Histone methyltransferase,H3K27me3 (silencing)
EZH2,KDM5A,829,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AX,828,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SMARCA4,909,Histone methyltransferase,H3K27me3 (silencing)
EZH2,EED,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AC13,938,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4-16,845,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PAXIP1,758,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PHF19,989,Histone methyltransferase,H3K27me3 (silencing)
EZH2,FOXM1,778,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H3C12,985,Histone methyltransferase,H3K27me3 (silencing)
EZH2,JUN,852,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H3C13,998,Histone methyltransferase,H3K27me3 (silencing)
EZH2,HNRNPK,797,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PRMT1,781,Histone methyltransferase,H3K27me3 (silencing)
EZH2,RELA,915,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SRSF2,738,Histone methyltransferase,H3K27me3 (silencing)
EZH2,POU3F3,860,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2BC11,929,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AC15,823,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C5,839,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AC6,908,Histone methyltransferase,H3K27me3 (silencing)
EZH2,DNMT1,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,BAP1,937,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PCGF5,936,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CBX6,948,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C8,836,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C11,836,Histone methyltransferase,H3K27me3 (silencing)
EZH2,UBAP2L,906,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H3-4,989,Histone methyltransferase,H3K27me3 (silencing)
EZH2,HSP90AA1,714,Histone methyltransferase,H3K27me3 (silencing)
EZH2,HDAC1,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2BC12,928,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H3-2,972,Histone methyltransferase,H3K27me3 (silencing)
EZH2,HIF1A,715,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AC4,823,Histone methyltransferase,H3K27me3 (silencing)
EZH2,POLR2A,762,Histone methyltransferase,H3K27me3 (silencing)
EZH2,DOT1L,867,Histone methyltransferase,H3K27me3 (silencing)
EZH2,ASH2L,857,Histone methyltransferase,H3K27me3 (silencing)
EZH2,KDM2B,863,Histone methyltransferase,H3K27me3 (silencing)
EZH2,FOXP3,931,Histone methyltransferase,H3K27me3 (silencing)
EZH2,EHMT2,953,Histone methyltransferase,H3K27me3 (silencing)
EZH2,EPOP,947,Histone methyltransferase,H3K27me3 (silencing)
EZH2,TET2,875,Histone methyltransferase,H3K27me3 (silencing)
EZH2,MEN1,777,Histone methyltransferase,H3K27me3 (silencing)
EZH2,NRAS,811,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PRDM1,769,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CTCFL,706,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PCGF3,937,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SOX2,770,Histone methyltransferase,H3K27me3 (silencing)
EZH2,HOXB3,711,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PCGF6,941,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C13,841,Histone methyltransferase,H3K27me3 (silencing)
EZH2,KDM6A,965,Histone methyltransferase,H3K27me3 (silencing)
EZH2,TMC6,850,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H3C15,932,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PTEN,760,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C12,834,Histone methyltransferase,H3K27me3 (silencing)
EZH2,AGO1,921,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AC17,842,Histone methyltransferase,H3K27me3 (silencing)
EZH2,KDM1A,997,Histone methyltransferase,H3K27me3 (silencing)
EZH2,BCL6,795,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SMARCB1,779,Histone methyltransferase,H3K27me3 (silencing)
EZH2,SKIDA1,700,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CDK1,965,Histone methyltransferase,H3K27me3 (silencing)
EZH2,GATA4,748,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CD244,879,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PHC3,918,Histone methyltransferase,H3K27me3 (silencing)
EZH2,EZHIP,825,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PHF1,998,Histone methyltransferase,H3K27me3 (silencing)
EZH2,BMI1,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,AKT1,867,Histone methyltransferase,H3K27me3 (silencing)
EZH2,DNMT3B,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,MTF2,998,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CBX3,818,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C1,837,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H3C14,940,Histone methyltransferase,H3K27me3 (silencing)
EZH2,HDAC8,836,Histone methyltransferase,H3K27me3 (silencing)
EZH2,ARNTL,910,Histone methyltransferase,H3K27me3 (silencing)
EZH2,IDH2,708,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AC18,873,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CTCF,916,Histone methyltransferase,H3K27me3 (silencing)
EZH2,HDAC2,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,UBE3A,701,Histone methyltransferase,H3K27me3 (silencing)
EZH2,KLF4,715,Histone methyltransferase,H3K27me3 (silencing)
EZH2,TET1,764,Histone methyltransferase,H3K27me3 (silencing)
EZH2,USP7,898,Histone methyltransferase,H3K27me3 (silencing)
EZH2,VAV1,978,Histone methyltransferase,H3K27me3 (silencing)
EZH2,ASXL1,998,Histone methyltransferase,H3K27me3 (silencing)
EZH2,AEBP2,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,WT1,824,Histone methyltransferase,H3K27me3 (silencing)
EZH2,HDAC9,706,Histone methyltransferase,H3K27me3 (silencing)
EZH2,E2F6,903,Histone methyltransferase,H3K27me3 (silencing)
EZH2,ASXL2,857,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C14,840,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2BC21,886,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CARM1,775,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AC11,827,Histone methyltransferase,H3K27me3 (silencing)
EZH2,JARID2,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C3,840,Histone methyltransferase,H3K27me3 (silencing)
EZH2,MACROH2A1,700,Histone methyltransferase,H3K27me3 (silencing)
EZH2,COMMD3-BMI1,985,Histone methyltransferase,H3K27me3 (silencing)
EZH2,LCOR,900,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CDKN2A,813,Histone methyltransferase,H3K27me3 (silencing)
EZH2,KDM5B,845,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H3-5,972,Histone methyltransferase,H3K27me3 (silencing)
EZH2,E2F1,916,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C15,834,Histone methyltransferase,H3K27me3 (silencing)
EZH2,E2F2,718,Histone methyltransferase,H3K27me3 (silencing)
EZH2,PHC1,982,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CLOCK,710,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H3C1,887,Histone methyltransferase,H3K27me3 (silencing)
EZH2,CTNNB1,986,Histone methyltransferase,H3K27me3 (silencing)
EZH2,EZH1,999,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H4C4,840,Histone methyltransferase,H3K27me3 (silencing)
EZH2,H2AC16,823,Histone methyltransferase,H3K27me3 (silencing)
KDM6A,TBX21,703,Histone demethylase,removes H3K27me3
KDM6A,ATP5F1D,912,Histone demethylase,removes H3K27me3
KDM6A,SIX4,784,Histone demethylase,removes H3K27me3
KDM6A,STAG2,722,Histone demethylase,removes H3K27me3
KDM6A,POLR2C,795,Histone demethylase,removes H3K27me3
KDM6A,H4C6,827,Histone demethylase,removes H3K27me3
KDM6A,H3-3B,962,Histone demethylase,removes H3K27me3
KDM6A,KDM6B,747,Histone demethylase,removes H3K27me3
KDM6A,KMT2C,999,Histone demethylase,removes H3K27me3
KDM6A,CREBBP,811,Histone demethylase,removes H3K27me3
KDM6A,SETD1A,927,Histone demethylase,removes H3K27me3
KDM6A,EP300,902,Histone demethylase,removes H3K27me3
KDM6A,RBBP5,999,Histone demethylase,removes H3K27me3
KDM6A,NCOR1,721,Histone demethylase,removes H3K27me3
KDM6A,TP53,710,Histone demethylase,removes H3K27me3
KDM6A,H2BC1,704,Histone demethylase,removes H3K27me3
KDM6A,ATM,712,Histone demethylase,removes H3K27me3
KDM6A,ATP5MC3,701,Histone demethylase,removes H3K27me3
KDM6A,ATP5PO,782,Histone demethylase,removes H3K27me3
KDM6A,H2AZ1,773,Histone demethylase,removes H3K27me3
KDM6A,KMT2D,999,Histone demethylase,removes H3K27me3
KDM6A,ATP5PD,828,Histone demethylase,removes H3K27me3
KDM6A,TBX5,848,Histone demethylase,removes H3K27me3
KDM6A,SUZ12,912,Histone demethylase,removes H3K27me3
KDM6A,EZH2,965,Histone demethylase,removes H3K27me3
KDM6A,KDM5D,782,Histone demethylase,removes H3K27me3
KDM6A,TUFM,740,Histone demethylase,removes H3K27me3
KDM6A,SOX2,790,Histone demethylase,removes H3K27me3
KDM6A,PAGR1,997,Histone demethylase,removes H3K27me3
KDM6A,NKX2-5,850,Histone demethylase,removes H3K27me3
KDM6A,ATP6V0C,701,Histone demethylase,removes H3K27me3
KDM6A,H2AC20,819,Histone demethylase,removes H3K27me3
KDM6A,H3C13,956,Histone demethylase,removes H3K27me3
KDM6A,SUV39H1,741,Histone demethylase,removes H3K27me3
KDM6A,EED,844,Histone demethylase,removes H3K27me3
KDM6A,H3-5,916,Histone demethylase,removes H3K27me3
KDM6A,ASH2L,998,Histone demethylase,removes H3K27me3
KDM6A,SMARCA4,848,Histone demethylase,removes H3K27me3
KDM6A,DPY30,993,Histone demethylase,removes H3K27me3
KDM6A,ATP5F1C,899,Histone demethylase,removes H3K27me3
KDM6A,H2BC12,705,Histone demethylase,removes H3K27me3
KDM6A,WDR5,999,Histone demethylase,removes H3K27me3
KDM6A,H3C12,959,Histone demethylase,removes H3K27me3
KDM6A,DNMT1,829,Histone demethylase,removes H3K27me3
KDM6A,MT-ATP6,912,Histone demethylase,removes H3K27me3
KDM6A,HOXB1,813,Histone demethylase,removes H3K27me3
KDM6A,H3-4,938,Histone demethylase,removes H3K27me3
KDM6A,H3-3A,734,Histone demethylase,removes H3K27me3
KDM6A,RNF2,722,Histone demethylase,removes H3K27me3
KDM6A,H2BC21,783,Histone demethylase,removes H3K27me3
KDM6A,H3C14,726,Histone demethylase,removes H3K27me3
KDM6A,H2AC18,821,Histone demethylase,removes H3K27me3
KDM6A,ATP5PB,792,Histone demethylase,removes H3K27me3
KDM6A,KDM4A,799,Histone demethylase,removes H3K27me3
KDM6A,RBBP4,761,Histone demethylase,removes H3K27me3
KDM6A,KLF4,724,Histone demethylase,removes H3K27me3
KDM6A,AR,765,Histone demethylase,removes H3K27me3
KDM6A,NCOA6,999,Histone demethylase,removes H3K27me3
KDM6A,KDM5C,923,Histone demethylase,removes H3K27me3
KDM6A,ASXL1,828,Histone demethylase,removes H3K27me3
KDM6A,KDM2B,703,Histone demethylase,removes H3K27me3
KDM6A,H2AC6,700,Histone demethylase,removes H3K27me3
KDM6A,DDX3X,843,Histone demethylase,removes H3K27me3
KDM6A,KMT2B,715,Histone demethylase,removes H3K27me3
KDM6A,H3C6,786,Histone demethylase,removes H3K27me3
KDM6A,SETD2,890,Histone demethylase,removes H3K27me3
KDM6A,ZFX,804,Histone demethylase,removes H3K27me3
KDM6A,H3-2,916,Histone demethylase,removes H3K27me3
KDM6A,POLR2B,779,Histone demethylase,removes H3K27me3
KDM6A,POLR2E,737,Histone demethylase,removes H3K27me3
KDM6A,RBBP7,738,Histone demethylase,removes H3K27me3
KDM6A,H3C3,786,Histone demethylase,removes H3K27me3
KDM6A,PAXIP1,999,Histone demethylase,removes H3K27me3
KDM6A,SETD1B,773,Histone demethylase,removes H3K27me3
KDM6A,KDM5A,768,Histone demethylase,removes H3K27me3
KDM6A,H2AX,731,Histone demethylase,removes H3K27me3
KDM6A,ASXL2,772,Histone demethylase,removes H3K27me3
KDM6A,ATP5MC2,701,Histone demethylase,removes H3K27me3
KDM6A,KMT2A,869,Histone demethylase,removes H3K27me3
KDM6A,ATP5MC1,701,Histone demethylase,removes H3K27me3
KDM6A,UTY,735,Histone demethylase,removes H3K27me3
KDM6A,EZH1,780,Histone demethylase,removes H3K27me3
KDM6A,H3C1,807,Histone demethylase,removes H3K27me3
KDM6A,ATP5F1A,913,Histone demethylase,removes H3K27me3
KDM6A,KDM1A,820,Histone demethylase,removes H3K27me3
KDM6A,ATP6V0B,701,Histone demethylase,removes H3K27me3
KDM6A,H2BC9,701,Histone demethylase,removes H3K27me3
KDM6A,ENSG00000249209,782,Histone demethylase,removes H3K27me3
KDM6A,GATA4,821,Histone demethylase,removes H3K27me3
KDM6A,KDM4C,761,Histone demethylase,removes H3K27me3
KDM6A,CTCF,721,Histone demethylase,removes H3K27me3
KDM6A,KDM7A,704,Histone demethylase,removes H3K27me3
HDAC1,SNAI2,924,Histone deacetylase,gene silencing
HDAC1,HDAC7,886,Histone deacetylase,gene silencing
HDAC1,BCL3,909,Histone deacetylase,gene silencing
HDAC1,SIRT1,993,Histone deacetylase,gene silencing
HDAC1,FKBP3,928,Histone deacetylase,gene silencing
HDAC1,BRMS1L,992,Histone deacetylase,gene silencing
HDAC1,SALL4,771,Histone deacetylase,gene silencing
HDAC1,CSNK2A1,961,Histone deacetylase,gene silencing
HDAC1,HNRNPL,775,Histone deacetylase,gene silencing
HDAC1,DDX5,944,Histone deacetylase,gene silencing
HDAC1,KAT2A,974,Histone deacetylase,gene silencing
HDAC1,HDAC5,818,Histone deacetylase,gene silencing
HDAC1,NFKB1,996,Histone deacetylase,gene silencing
HDAC1,SPI1,765,Histone deacetylase,gene silencing
HDAC1,CCND1,833,Histone deacetylase,gene silencing
HDAC1,NANOG,719,Histone deacetylase,gene silencing
HDAC1,TBP,865,Histone deacetylase,gene silencing
HDAC1,NR3C1,929,Histone deacetylase,gene silencing
HDAC1,DUSP1,711,Histone deacetylase,gene silencing
HDAC1,EGR1,859,Histone deacetylase,gene silencing
HDAC1,PFN2,795,Histone deacetylase,gene silencing
HDAC1,TWIST1,734,Histone deacetylase,gene silencing
HDAC1,SNAI1,999,Histone deacetylase,gene silencing
HDAC1,H4C6,984,Histone deacetylase,gene silencing
HDAC1,IRF1,985,Histone deacetylase,gene silencing
HDAC1,FOSB,957,Histone deacetylase,gene silencing
HDAC1,SIRT2,859,Histone deacetylase,gene silencing
HDAC1,MYOD1,926,Histone deacetylase,gene silencing
HDAC1,FOXA1,724,Histone deacetylase,gene silencing
HDAC1,TRIM28,968,Histone deacetylase,gene silencing
HDAC1,GSE1,952,Histone deacetylase,gene silencing
HDAC1,RARA,874,Histone deacetylase,gene silencing
HDAC1,NR0B2,798,Histone deacetylase,gene silencing
HDAC1,RFX1,938,Histone deacetylase,gene silencing
HDAC1,SMARCC1,909,Histone deacetylase,gene silencing
HDAC1,H3-3B,986,Histone deacetylase,gene silencing
HDAC1,MBD2,999,Histone deacetylase,gene silencing
HDAC1,BHLHE40,825,Histone deacetylase,gene silencing
HDAC1,MDM2,963,Histone deacetylase,gene silencing
HDAC1,POU5F1,896,Histone deacetylase,gene silencing
HDAC1,CDK2AP1,947,Histone deacetylase,gene silencing
HDAC1,CDH1,775,Histone deacetylase,gene silencing
HDAC1,RBL2,991,Histone deacetylase,gene silencing
HDAC1,SMAD7,825,Histone deacetylase,gene silencing
HDAC1,SMAD2,980,Histone deacetylase,gene silencing
HDAC1,YY1,999,Histone deacetylase,gene silencing
HDAC1,RCOR1,999,Histone deacetylase,gene silencing
HDAC1,CREBBP,960,Histone deacetylase,gene silencing
HDAC1,CHD5,962,Histone deacetylase,gene silencing
HDAC1,SETD1A,805,Histone deacetylase,gene silencing
HDAC1,EP300,999,Histone deacetylase,gene silencing
HDAC1,BRD4,954,Histone deacetylase,gene silencing
HDAC1,KAT2B,976,Histone deacetylase,gene silencing
HDAC1,ARID4B,990,Histone deacetylase,gene silencing
HDAC1,HDAC4,781,Histone deacetylase,gene silencing
HDAC1,STAT3,984,Histone deacetylase,gene silencing
HDAC1,MECOM,968,Histone deacetylase,gene silencing
HDAC1,DNMT3A,997,Histone deacetylase,gene silencing
HDAC1,KLF1,754,Histone deacetylase,gene silencing
HDAC1,LEF1,966,Histone deacetylase,gene silencing
HDAC1,KAT6A,779,Histone deacetylase,gene silencing
HDAC1,DAXX,922,Histone deacetylase,gene silencing
HDAC1,RB1,999,Histone deacetylase,gene silencing
HDAC1,PML,903,Histone deacetylase,gene silencing
HDAC1,CBFA2T3,882,Histone deacetylase,gene silencing
HDAC1,NCOR1,999,Histone deacetylase,gene silencing
HDAC1,TP53,999,Histone deacetylase,gene silencing
HDAC1,DNMT3L,989,Histone deacetylase,gene silencing
HDAC1,MEF2D,724,Histone deacetylase,gene silencing
HDAC1,SETDB1,992,Histone deacetylase,gene silencing
HDAC1,H2BC1,860,Histone deacetylase,gene silencing
HDAC1,EGFR,765,Histone deacetylase,gene silencing
HDAC1,NONO,812,Histone deacetylase,gene silencing
HDAC1,UHRF2,940,Histone deacetylase,gene silencing
HDAC1,ATM,948,Histone deacetylase,gene silencing
HDAC1,MTA2,999,Histone deacetylase,gene silencing
HDAC1,ARID5B,774,Histone deacetylase,gene silencing
HDAC1,MYCN,914,Histone deacetylase,gene silencing
HDAC1,SMARCA5,969,Histone deacetylase,gene silencing
HDAC1,ELMSAN1,971,Histone deacetylase,gene silencing
HDAC1,PPARG,857,Histone deacetylase,gene silencing
HDAC1,GATAD1,824,Histone deacetylase,gene silencing
HDAC1,APPL1,721,Histone deacetylase,gene silencing
HDAC1,H2BC5,762,Histone deacetylase,gene silencing
HDAC1,CTBP1,999,Histone deacetylase,gene silencing
HDAC1,TAL1,795,Histone deacetylase,gene silencing
HDAC1,GFI1,957,Histone deacetylase,gene silencing
HDAC1,H2AZ1,886,Histone deacetylase,gene silencing
HDAC1,SAP30,999,Histone deacetylase,gene silencing
HDAC1,H2AC1,771,Histone deacetylase,gene silencing
HDAC1,SAP30L,978,Histone deacetylase,gene silencing
HDAC1,RUNX1,998,Histone deacetylase,gene silencing
HDAC1,DDB1,888,Histone deacetylase,gene silencing
HDAC1,UBTF,713,Histone deacetylase,gene silencing
HDAC1,HSPA4,921,Histone deacetylase,gene silencing
HDAC1,HDAC3,925,Histone deacetylase,gene silencing
HDAC1,H2AC8,786,Histone deacetylase,gene silencing
HDAC1,PWWP2A,731,Histone deacetylase,gene silencing
HDAC1,CEBPB,991,Histone deacetylase,gene silencing
HDAC1,FOS,823,Histone deacetylase,gene silencing
HDAC1,ING2,990,Histone deacetylase,gene silencing
HDAC1,H2AZ2,797,Histone deacetylase,gene silencing
HDAC1,HCFC1,745,Histone deacetylase,gene silencing
HDAC1,SP3,873,Histone deacetylase,gene silencing
HDAC1,PPARD,756,Histone deacetylase,gene silencing
HDAC1,CASP3,738,Histone deacetylase,gene silencing
HDAC1,REST,994,Histone deacetylase,gene silencing
HDAC1,CTBP2,974,Histone deacetylase,gene silencing
HDAC1,KMT2E,818,Histone deacetylase,gene silencing
HDAC1,STAT2,909,Histone deacetylase,gene silencing
HDAC1,SUZ12,960,Histone deacetylase,gene silencing
HDAC1,RUVBL1,801,Histone deacetylase,gene silencing
HDAC1,EZH2,999,Histone deacetylase,gene silencing
HDAC1,ARID1A,793,Histone deacetylase,gene silencing
HDAC1,ING3,829,Histone deacetylase,gene silencing
HDAC1,H2BC4,760,Histone deacetylase,gene silencing
HDAC1,ZMYM3,908,Histone deacetylase,gene silencing
HDAC1,SOX2,966,Histone deacetylase,gene silencing
HDAC1,ZBTB7A,965,Histone deacetylase,gene silencing
HDAC1,SMARCE1,751,Histone deacetylase,gene silencing
HDAC1,TCHP,732,Histone deacetylase,gene silencing
HDAC1,PPP1CA,734,Histone deacetylase,gene silencing
HDAC1,ZFPM1,936,Histone deacetylase,gene silencing
HDAC1,NRIP1,811,Histone deacetylase,gene silencing
HDAC1,TGIF1,831,Histone deacetylase,gene silencing
HDAC1,HMG20B,998,Histone deacetylase,gene silencing
HDAC1,DNMT3B,999,Histone deacetylase,gene silencing
HDAC1,SP1,991,Histone deacetylase,gene silencing
HDAC1,PHF12,987,Histone deacetylase,gene silencing
HDAC1,MORF4L1,995,Histone deacetylase,gene silencing
HDAC1,IKZF1,987,Histone deacetylase,gene silencing
HDAC1,H2AC20,877,Histone deacetylase,gene silencing
HDAC1,SMAD3,980,Histone deacetylase,gene silencing
HDAC1,H3C13,984,Histone deacetylase,gene silencing
HDAC1,MTA1,999,Histone deacetylase,gene silencing
HDAC1,HSP90AA1,764,Histone deacetylase,gene silencing
HDAC1,CBX3,963,Histone deacetylase,gene silencing
HDAC1,MEN1,722,Histone deacetylase,gene silencing
HDAC1,SINHCAF,967,Histone deacetylase,gene silencing
HDAC1,SUV39H1,994,Histone deacetylase,gene silencing
HDAC1,ZBTB16,949,Histone deacetylase,gene silencing
HDAC1,EED,952,Histone deacetylase,gene silencing
HDAC1,RERE,973,Histone deacetylase,gene silencing
HDAC1,CIR1,921,Histone deacetylase,gene silencing
HDAC1,H3-5,967,Histone deacetylase,gene silencing
HDAC1,KAT5,985,Histone deacetylase,gene silencing
HDAC1,MEF2C,865,Histone deacetylase,gene silencing
HDAC1,SMARCB1,932,Histone deacetylase,gene silencing
HDAC1,ASH2L,732,Histone deacetylase,gene silencing
HDAC1,RBPJL,921,Histone deacetylase,gene silencing
HDAC1,SMAD4,972,Histone deacetylase,gene silencing
HDAC1,PPP1CC,757,Histone deacetylase,gene silencing
HDAC1,LIN54,741,Histone deacetylase,gene silencing
HDAC1,USP7,929,Histone deacetylase,gene silencing
HDAC1,SMARCA4,989,Histone deacetylase,gene silencing
HDAC1,ATF3,918,Histone deacetylase,gene silencing
HDAC1,GFI1B,888,Histone deacetylase,gene silencing
HDAC1,RBPJ,986,Histone deacetylase,gene silencing
HDAC1,E2F1,999,Histone deacetylase,gene silencing
HDAC1,H2AB2,707,Histone deacetylase,gene silencing
HDAC1,H2BW2,760,Histone deacetylase,gene silencing
HDAC1,ARID4A,986,Histone deacetylase,gene silencing
HDAC1,UBE2I,860,Histone deacetylase,gene silencing
HDAC1,H2BC12,764,Histone deacetylase,gene silencing
HDAC1,BCL11B,947,Histone deacetylase,gene silencing
HDAC1,SFPQ,921,Histone deacetylase,gene silencing
HDAC1,SAP130,922,Histone deacetylase,gene silencing
HDAC1,WDR5,950,Histone deacetylase,gene silencing
HDAC1,H2AC13,849,Histone deacetylase,gene silencing
HDAC1,SMARCAD1,715,Histone deacetylase,gene silencing
HDAC1,H3C12,986,Histone deacetylase,gene silencing
HDAC1,DNMT1,999,Histone deacetylase,gene silencing
HDAC1,ZNF148,739,Histone deacetylase,gene silencing
HDAC1,STAT1,969,Histone deacetylase,gene silencing
HDAC1,ZEB1,975,Histone deacetylase,gene silencing
HDAC1,H2BW1,760,Histone deacetylase,gene silencing
HDAC1,ZNF521,736,Histone deacetylase,gene silencing
HDAC1,H3-4,976,Histone deacetylase,gene silencing
HDAC1,PARP1,900,Histone deacetylase,gene silencing
HDAC1,KDM5B,986,Histone deacetylase,gene silencing
HDAC1,CDC73,708,Histone deacetylase,gene silencing
HDAC1,RNF2,868,Histone deacetylase,gene silencing
HDAC1,POU2F1,734,Histone deacetylase,gene silencing
HDAC1,GATAD2B,999,Histone deacetylase,gene silencing
HDAC1,BUB3,717,Histone deacetylase,gene silencing
HDAC1,NR2E1,719,Histone deacetylase,gene silencing
HDAC1,PRDM1,785,Histone deacetylase,gene silencing
HDAC1,H2BC21,891,Histone deacetylase,gene silencing
HDAC1,H2AC18,911,Histone deacetylase,gene silencing
HDAC1,PRMT6,869,Histone deacetylase,gene silencing
HDAC1,JUN,967,Histone deacetylase,gene silencing
HDAC1,RUNX2,879,Histone deacetylase,gene silencing
HDAC1,ZNF217,987,Histone deacetylase,gene silencing
HDAC1,HSP90AB1,751,Histone deacetylase,gene silencing
HDAC1,KDM4A,758,Histone deacetylase,gene silencing
HDAC1,DNTTIP1,994,Histone deacetylase,gene silencing
HDAC1,AGO1,909,Histone deacetylase,gene silencing
HDAC1,MACROH2A2,733,Histone deacetylase,gene silencing
HDAC1,RBBP4,999,Histone deacetylase,gene silencing
HDAC1,H2AX,816,Histone deacetylase,gene silencing
HDAC1,KDM5A,925,Histone deacetylase,gene silencing
HDAC1,AR,964,Histone deacetylase,gene silencing
HDAC1,SETD1B,706,Histone deacetylase,gene silencing
HDAC1,PHF21A,998,Histone deacetylase,gene silencing
HDAC1,SPEN,739,Histone deacetylase,gene silencing
HDAC1,H2BC13,762,Histone deacetylase,gene silencing
HDAC1,ESR1,998,Histone deacetylase,gene silencing
HDAC1,BRCA1,958,Histone deacetylase,gene silencing
HDAC1,RBBP7,999,Histone deacetylase,gene silencing
HDAC1,RCOR3,862,Histone deacetylase,gene silencing
HDAC1,ZEB2,839,Histone deacetylase,gene silencing
HDAC1,MIER3,802,Histone deacetylase,gene silencing
HDAC1,MEF2A,864,Histone deacetylase,gene silencing
HDAC1,SIN3A,999,Histone deacetylase,gene silencing
HDAC1,RING1,849,Histone deacetylase,gene silencing
HDAC1,CDKN1A,903,Histone deacetylase,gene silencing
HDAC1,H2BE1,760,Histone deacetylase,gene silencing
HDAC1,ACTB,766,Histone deacetylase,gene silencing
HDAC1,CBX1,877,Histone deacetylase,gene silencing
HDAC1,TBL1Y,734,Histone deacetylase,gene silencing
HDAC1,CDYL,883,Histone deacetylase,gene silencing
HDAC1,GAPDH,762,Histone deacetylase,gene silencing
HDAC1,UHRF1,996,Histone deacetylase,gene silencing
HDAC1,CHD4,999,Histone deacetylase,gene silencing
HDAC1,TRIM27,803,Histone deacetylase,gene silencing
HDAC1,IFRD1,837,Histone deacetylase,gene silencing
