smiles,target_gene,generation_method,qed,sa_score,mw,predicted_ic50_nM,binding_energy_kcal,best_similarity,mean_similarity,confidence,n_references
c1cc2c3cnc(Nc4cnc(N5CCOCC5)nc4)nc3n(C3CCCC3)c2cn1,CDK6,bioisostere,0.541,3.9,416.5,3.88,-10.88,0.642,0.436,0.963,10
O=C1COCCN1Cc1ccc(Nc2ncc3c4ccncc4n(C4CCCC4)c3n2)nc1,CDK6,bioisostere,0.503,4.1,443.5,3.89,-10.88,0.495,0.412,0.743,10
CNC.COc1ncc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)cc24)cn1.O,MAP2K1,bioisostere,0.706,3.9,425.5,4.07,-10.85,0.566,0.359,0.849,10
CCOc1ccc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(C(=O)OC)c24)nn1,MAP2K1,r_group,0.567,4.0,434.5,4.08,-10.85,0.596,0.378,0.894,10
COC(=O)c1c(C(C)C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)nn1)C3=CC2=O,MAP2K1,r_group,0.552,4.1,448.5,4.22,-10.83,0.579,0.372,0.868,10
CCCCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.508,2.0,305.2,4.27,-10.83,0.662,0.353,0.993,10
CCCCCC[Se](=O)CC(=O)C(C)(F)F,FOLH1,bioisostere,0.507,1.9,287.2,4.47,-10.8,0.571,0.323,0.856,10
CN(C)CCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.509,2.1,320.2,4.48,-10.8,0.508,0.284,0.762,10
O=C(C[Se](=O)CCCCCO)C(F)(F)F,FOLH1,r_group,0.574,1.9,293.1,4.49,-10.8,0.512,0.299,0.768,10
NCCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.573,1.9,292.2,4.54,-10.79,0.531,0.327,0.797,10
N#CCCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.536,2.0,302.2,4.54,-10.79,0.523,0.311,0.784,10
CC(C)CCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.504,2.1,319.2,4.59,-10.78,0.503,0.29,0.754,10
NS(=O)(=O)CCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.519,2.2,356.2,4.62,-10.78,0.488,0.308,0.732,10
O=C(C[Se](=O)CCCCCC1CC1)C(F)(F)F,FOLH1,r_group,0.507,2.1,317.2,4.63,-10.78,0.478,0.291,0.716,10
NC(=O)CCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.545,2.1,320.2,4.66,-10.77,0.477,0.28,0.715,10
COCCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.511,2.0,307.2,4.68,-10.77,0.513,0.31,0.77,10
O=C(O)CCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.549,2.1,321.2,4.69,-10.77,0.498,0.291,0.747,10
CNCCCCC[Se](=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.55,2.0,306.2,4.72,-10.77,0.507,0.319,0.76,10
Oc1cc(C(Cl)(Cl)Cl)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,AR,bioisostere,0.604,2.9,371.7,4.83,-10.75,0.686,0.378,1.0,10
CCCCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.509,2.1,321.2,4.85,-10.75,0.651,0.344,0.976,10
CNN=C1CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,r_group,0.506,3.6,379.5,4.91,-10.74,0.45,0.349,0.675,10
CCCCCCNCC(=O)C(C)(F)F,FOLH1,bioisostere,0.619,1.8,207.3,4.92,-10.74,0.492,0.257,0.738,10
CCc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,AR,r_group,0.743,3.0,334.4,4.93,-10.74,0.595,0.38,0.893,10
O=C(O)c1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,AR,r_group,0.786,3.1,350.3,4.95,-10.74,0.594,0.366,0.892,10
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR,r_group,0.648,3.5,386.5,4.98,-10.74,0.695,0.332,1.0,10
CCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR,r_group,0.622,3.6,400.6,4.98,-10.74,0.706,0.332,1.0,10
CC[C@@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(C)=O)C(C)=O)[C@@]2(C)CCC(=O)C=C12,AR,r_group,0.622,3.6,400.6,4.99,-10.73,0.719,0.341,1.0,10
Nc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,AR,r_group,0.749,2.9,321.3,5.0,-10.73,0.602,0.383,0.902,10
CON=C1CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,r_group,0.501,3.6,380.5,5.0,-10.73,0.459,0.341,0.689,10
CCCCCCNCC(=O)C(F)(F)Cl,FOLH1,bioisostere,0.51,1.8,227.7,5.01,-10.73,0.603,0.351,0.904,10
CC(=O)[C@@]1(OC(C)=S)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR,bioisostere,0.576,3.5,402.6,5.01,-10.73,0.586,0.295,0.878,10
CC[C@]12CCC(=O)C=C1[C@@H](C)C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(OC(C)=O)C(C)=O,AR,r_group,0.622,3.6,400.6,5.02,-10.73,0.627,0.319,0.94,10
NCCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.572,2.0,308.2,5.02,-10.73,0.475,0.277,0.712,10
Cc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,AR,r_group,0.716,2.9,320.4,5.03,-10.73,0.615,0.378,0.922,10
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C1CC1,AR,r_group,0.609,3.8,412.6,5.05,-10.73,0.586,0.315,0.879,10
O=C(C[Se](=O)(=O)CCCCCC1CC1)C(F)(F)F,FOLH1,r_group,0.505,2.2,333.2,5.06,-10.73,0.499,0.309,0.748,10
NC(=O)CCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.536,2.2,336.2,5.07,-10.72,0.449,0.279,0.673,10
O=C(C[Se](=O)(=O)CCCCCO)C(F)(F)F,FOLH1,r_group,0.572,2.0,309.1,5.07,-10.72,0.587,0.332,0.88,10
CC(C)CCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.503,2.2,335.2,5.09,-10.72,0.537,0.309,0.805,10
CC(=O)[C@@]1(OC(=O)C(C)C)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR,r_group,0.589,3.8,414.6,5.09,-10.72,0.56,0.297,0.84,10
CC(=O)O[C@]1(C(=O)C2CC2)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR,r_group,0.609,3.8,412.6,5.09,-10.72,0.593,0.317,0.89,10
NC(=O)N=C1CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,r_group,0.531,3.8,393.5,5.1,-10.72,0.447,0.361,0.671,10
FN=C1CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21,BRAF,r_group,0.524,3.5,368.4,5.1,-10.72,0.479,0.365,0.719,10
CNCCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.547,2.1,322.2,5.11,-10.72,0.476,0.323,0.714,10
O=C(O)CCCCC[Se](=O)(=O)CC(=O)C(F)(F)F,FOLH1,r_group,0.541,2.2,337.2,5.12,-10.72,0.506,0.34,0.759,10
Fc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@@H]1CCCC[C@H]31,AR,r_group,0.539,2.9,324.3,5.12,-10.72,0.612,0.403,0.918,10
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@@H](C(C)C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,AR,r_group,0.589,3.8,414.6,5.13,-10.72,0.554,0.293,0.83,10
CNc1cc(C(F)(F)F)c2cc3c(cc2n1)NC[C@H]1CCCC[C@H]31,AR,r_group,0.77,3.0,335.4,5.14,-10.72,0.578,0.383,0.867,10
